s3->rx1:646 s3->rx2:646 s1->tx1:13268 s1->tx2:13268 s1->tx3:13420
s3->rx1:1904 s3->rx2:261968 s1->tx1:4171 s1->tx2:288427 s1->tx3:4129
s3->rx1:0 s3->rx2:2636928 s1->tx1:942 s1->tx2:2637870 s1->tx3:942
s3->rx1:70 s3->rx2:2636998 s1->tx1:1910 s1->tx2:2637326 s1->tx3:1910
s3->rx1:0 s3->rx2:2630880 s1->tx1:60 s1->tx2:2631000 s1->tx3:120
s3->rx1:0 s3->rx2:2629368 s1->tx1:407 s1->tx2:2631388 s1->tx3:305
s3->rx1:336 s3->rx2:2635752 s1->tx1:1124 s1->tx2:2636379 s1->tx3:1166
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:2633964 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:2636988 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:2638500 s1->tx3:60
s3->rx1:70 s3->rx2:2633974 s1->tx1:550 s1->tx2:2632872 s1->tx3:480
s3->rx1:0 s3->rx2:2633904 s1->tx1:340 s1->tx2:2637338 s1->tx3:470
s3->rx1:0 s3->rx2:2635416 s1->tx1:260 s1->tx2:2635676 s1->tx3:200
s3->rx1:0 s3->rx2:2635416 s1->tx1:263 s1->tx2:2634370 s1->tx3:263
s3->rx1:0 s3->rx2:2633904 s1->tx1:872 s1->tx2:2633061 s1->tx3:872
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:2633964 s1->tx3:60
s3->rx1:0 s3->rx2:2630880 s1->tx1:60 s1->tx2:2630940 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:2636988 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:2633964 s1->tx3:120
s3->rx1:0 s3->rx2:2632392 s1->tx1:120 s1->tx2:2632512 s1->tx3:60
s3->rx1:0 s3->rx2:2630880 s1->tx1:60 s1->tx2:2630940 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:2635476 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:2636988 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:2636988 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:130 s1->tx2:2634034 s1->tx3:130
s3->rx1:70 s3->rx2:2635486 s1->tx1:270 s1->tx2:2632592 s1->tx3:200
s3->rx1:0 s3->rx2:2630880 s1->tx1:270 s1->tx2:2646400 s1->tx3:400
s3->rx1:0 s3->rx2:2644488 s1->tx1:190 s1->tx2:2632522 s1->tx3:130
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:2635476 s1->tx3:60
s3->rx1:336 s3->rx2:2636928 s1->tx1:1236 s1->tx2:1637220 s1->tx3:1166
s3->rx1:0 s3->rx2:2635416 s1->tx1:263 s1->tx2:639839 s1->tx3:263
s3->rx1:0 s3->rx2:2633904 s1->tx1:130 s1->tx2:641218 s1->tx3:200
s3->rx1:293328 s3->rx2:2635416 s1->tx1:293388 s1->tx2:641148 s1->tx3:60
s3->rx1:259378 s3->rx2:2636928 s1->tx1:259438 s1->tx2:639636 s1->tx3:120
s3->rx1:27160 s3->rx2:2632392 s1->tx1:27280 s1->tx2:639696 s1->tx3:60
s3->rx1:32592 s3->rx2:2632392 s1->tx1:32652 s1->tx2:641148 s1->tx3:60
s3->rx1:293328 s3->rx2:2633904 s1->tx1:293388 s1->tx2:639636 s1->tx3:60
s3->rx1:2800238 s3->rx2:2633904 s1->tx1:2732356 s1->tx2:639636 s1->tx3:60
s3->rx1:2638636 s3->rx2:2633904 s1->tx1:2622358 s1->tx2:641148 s1->tx3:60
s3->rx1:3043320 s3->rx2:2632392 s1->tx1:2862724 s1->tx2:638124 s1->tx3:60
s3->rx1:1290142 s3->rx2:2632392 s1->tx1:1554970 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:120 s1->tx2:639696 s1->tx3:120
