s3->rx1:646 s3->rx2:732 s1->tx1:13968 s1->tx2:13766 s1->tx3:14010
s3->rx1:1904 s3->rx2:1904 s1->tx1:3364 s1->tx2:3566 s1->tx3:3525
s3->rx1:0 s3->rx2:70 s1->tx1:2099 s1->tx2:1827 s1->tx3:1966
s3->rx1:70 s3->rx2:0 s1->tx1:550 s1->tx2:822 s1->tx3:480
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:120 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:1345 s1->tx2:914 s1->tx3:1117
s3->rx1:336 s3->rx2:336 s1->tx1:186 s1->tx2:557 s1->tx3:354
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:270 s1->tx2:200 s1->tx3:200
s3->rx1:70 s3->rx2:70 s1->tx1:620 s1->tx2:620 s1->tx3:620
s3->rx1:0 s3->rx2:0 s1->tx1:130 s1->tx2:190 s1->tx3:260
s3->rx1:0 s3->rx2:0 s1->tx1:190 s1->tx2:200 s1->tx3:130
s3->rx1:0 s3->rx2:0 s1->tx1:1075 s1->tx2:872 s1->tx3:1075
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:263 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:120 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:130 s1->tx2:130 s1->tx3:130
s3->rx1:70 s3->rx2:70 s1->tx1:410 s1->tx2:340 s1->tx3:340
s3->rx1:0 s3->rx2:0 s1->tx1:200 s1->tx2:200 s1->tx3:190
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:120 s1->tx3:130
s3->rx1:0 s3->rx2:0 s1->tx1:270 s1->tx2:270 s1->tx3:270
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
