s3->rx1:90 s3->rx2:266 s1->tx1:546 s1->tx2:400 s1->tx3:486
s3->rx1:2122 s3->rx2:3289152 s1->tx1:5176 s1->tx2:1016850 s1->tx3:1023480
s3->rx1:250 s3->rx2:5254290 s1->tx1:5850 s1->tx2:1176048 s1->tx3:2024128
s3->rx1:42 s3->rx2:5251176 s1->tx1:3452 s1->tx2:597758 s1->tx3:2597821
s3->rx1:0 s3->rx2:5252688 s1->tx1:812 s1->tx2:584444 s1->tx3:2610524
s3->rx1:0 s3->rx2:5246640 s1->tx1:1085 s1->tx2:574133 s1->tx3:2607773
s3->rx1:406 s3->rx2:5225878 s1->tx1:1736 s1->tx2:595910 s1->tx3:2570379
s3->rx1:210 s3->rx2:5225766 s1->tx1:0 s1->tx2:603288 s1->tx3:2588586
s3->rx1:168 s3->rx2:5260542 s1->tx1:245 s1->tx2:573251 s1->tx3:2622214
s3->rx1:0 s3->rx2:3113292 s1->tx1:896 s1->tx2:1007888 s1->tx3:2184021
s3->rx1:0 s3->rx2:5249664 s1->tx1:0 s1->tx2:1149120 s1->tx3:2041200
s3->rx1:0 s3->rx2:5258736 s1->tx1:0 s1->tx2:588168 s1->tx3:2605176
s3->rx1:0 s3->rx2:5258736 s1->tx1:0 s1->tx2:618408 s1->tx3:2571912
s3->rx1:0 s3->rx2:5246640 s1->tx1:70 s1->tx2:579236 s1->tx3:2609852
s3->rx1:70 s3->rx2:5249734 s1->tx1:490 s1->tx2:591682 s1->tx3:2599548
s3->rx1:0 s3->rx2:5243616 s1->tx1:140 s1->tx2:589750 s1->tx3:2597756
s3->rx1:0 s3->rx2:5234544 s1->tx1:203 s1->tx2:606515 s1->tx3:2575342
s3->rx1:0 s3->rx2:5228496 s1->tx1:812 s1->tx2:579908 s1->tx3:2590665
s3->rx1:0 s3->rx2:5231520 s1->tx1:0 s1->tx2:568512 s1->tx3:2612736
s3->rx1:0 s3->rx2:5243616 s1->tx1:0 s1->tx2:586656 s1->tx3:2606688
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:612360 s1->tx3:2579472
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:579096 s1->tx3:2615760
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:601776 s1->tx3:2588544
s3->rx1:0 s3->rx2:5249664 s1->tx1:0 s1->tx2:586656 s1->tx3:2606688
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:625968 s1->tx3:2567376
