s3->rx1:176 s3->rx2:90 s1->tx1:460 s1->tx2:314 s1->tx3:490
s3->rx1:2196 s3->rx2:3272536 s1->tx1:5363 s1->tx2:1010989 s1->tx3:1015728
s3->rx1:90 s3->rx2:5239240 s1->tx1:5863 s1->tx2:1858818 s1->tx3:1334267
s3->rx1:42 s3->rx2:5248242 s1->tx1:2243 s1->tx2:2227152 s1->tx3:962714
s3->rx1:0 s3->rx2:5254200 s1->tx1:1105 s1->tx2:2252473 s1->tx3:943284
s3->rx1:70 s3->rx2:5242104 s1->tx1:819 s1->tx2:2250675 s1->tx3:927402
s3->rx1:336 s3->rx2:5227390 s1->tx1:1463 s1->tx2:2227218 s1->tx3:946624
s3->rx1:294 s3->rx2:5207538 s1->tx1:245 s1->tx2:2169790 s1->tx3:990472
s3->rx1:252 s3->rx2:5224128 s1->tx1:203 s1->tx2:2224355 s1->tx3:963550
s3->rx1:0 s3->rx2:4127802 s1->tx1:854 s1->tx2:1698830 s1->tx3:1506603
s3->rx1:0 s3->rx2:5258736 s1->tx1:0 s1->tx2:1862784 s1->tx3:1319976
s3->rx1:0 s3->rx2:5251176 s1->tx1:0 s1->tx2:2284632 s1->tx3:908712
s3->rx1:0 s3->rx2:5257224 s1->tx1:0 s1->tx2:2257416 s1->tx3:935928
s3->rx1:70 s3->rx2:5246640 s1->tx1:420 s1->tx2:2236598 s1->tx3:951328
s3->rx1:0 s3->rx2:5254270 s1->tx1:280 s1->tx2:2244088 s1->tx3:949886
s3->rx1:0 s3->rx2:5246640 s1->tx1:0 s1->tx2:2239342 s1->tx3:951118
s3->rx1:0 s3->rx2:5260248 s1->tx1:406 s1->tx2:2244214 s1->tx3:947121
s3->rx1:0 s3->rx2:5228496 s1->tx1:609 s1->tx2:2218713 s1->tx3:955990
s3->rx1:0 s3->rx2:5243616 s1->tx1:0 s1->tx2:2263464 s1->tx3:922320
s3->rx1:0 s3->rx2:5237568 s1->tx1:0 s1->tx2:2271024 s1->tx3:920808
s3->rx1:0 s3->rx2:5240592 s1->tx1:0 s1->tx2:2213568 s1->tx3:961632
s3->rx1:0 s3->rx2:5243616 s1->tx1:0 s1->tx2:2240784 s1->tx3:948024
