s3->rx1:646 s3->rx2:736 s1->tx1:13784 s1->tx2:13582 s1->tx3:13624
s3->rx1:1904 s3->rx2:538664 s1->tx1:3971 s1->tx2:294274 s1->tx3:304816
s3->rx1:0 s3->rx2:5264784 s1->tx1:1018 s1->tx2:2638079 s1->tx3:2638009
s3->rx1:70 s3->rx2:5272414 s1->tx1:1428 s1->tx2:2636914 s1->tx3:2636984
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2635536 s1->tx3:2635536
s3->rx1:0 s3->rx2:5273856 s1->tx1:729 s1->tx2:2637394 s1->tx3:2637394
s3->rx1:336 s3->rx2:5266632 s1->tx1:802 s1->tx2:2634909 s1->tx3:2634909
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2633964 s1->tx3:2632452
s3->rx1:0 s3->rx2:5266296 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5266296 s1->tx1:130 s1->tx2:2631010 s1->tx3:2632522
s3->rx1:0 s3->rx2:5267808 s1->tx1:690 s1->tx2:2636036 s1->tx3:2637548
s3->rx1:70 s3->rx2:5270902 s1->tx1:270 s1->tx2:2635816 s1->tx3:2634304
s3->rx1:0 s3->rx2:5276880 s1->tx1:120 s1->tx2:2636988 s1->tx3:2636988
s3->rx1:0 s3->rx2:5264784 s1->tx1:669 s1->tx2:2635882 s1->tx3:2637394
s3->rx1:0 s3->rx2:5273856 s1->tx1:466 s1->tx2:2636085 s1->tx3:2634573
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2633964 s1->tx3:2632452
s3->rx1:0 s3->rx2:5263272 s1->tx1:60 s1->tx2:2630940 s1->tx3:2633964
s3->rx1:0 s3->rx2:5269320 s1->tx1:60 s1->tx2:2636988 s1->tx3:2633964
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2633964 s1->tx3:2634024
s3->rx1:0 s3->rx2:5270832 s1->tx1:120 s1->tx2:2635536 s1->tx3:2636988
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5266296 s1->tx1:60 s1->tx2:2633964 s1->tx3:2632452
s3->rx1:0 s3->rx2:5266296 s1->tx1:60 s1->tx2:2632452 s1->tx3:2633964
s3->rx1:0 s3->rx2:5267808 s1->tx1:130 s1->tx2:2632522 s1->tx3:2632592
s3->rx1:0 s3->rx2:5270832 s1->tx1:200 s1->tx2:2635616 s1->tx3:2635616
s3->rx1:0 s3->rx2:5264784 s1->tx1:200 s1->tx2:2632592 s1->tx3:2632522
s3->rx1:70 s3->rx2:5288976 s1->tx1:470 s1->tx2:2646400 s1->tx3:2646400
s3->rx1:0 s3->rx2:5272344 s1->tx1:130 s1->tx2:2634034 s1->tx3:2635546
s3->rx1:0 s3->rx2:5270902 s1->tx1:200 s1->tx2:2635686 s1->tx3:2634174
s3->rx1:336 s3->rx2:5267808 s1->tx1:1068 s1->tx2:1470732 s1->tx3:1461660
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:320604 s1->tx3:319092
s3->rx1:0 s3->rx2:5270832 s1->tx1:200 s1->tx2:320744 s1->tx3:320744
s3->rx1:293328 s3->rx2:5270832 s1->tx1:293388 s1->tx2:229884 s1->tx3:408300
s3->rx1:259378 s3->rx2:5263272 s1->tx1:259438 s1->tx2:196680 s1->tx3:447672
s3->rx1:33950 s3->rx2:5275368 s1->tx1:34070 s1->tx2:195108 s1->tx3:444588
s3->rx1:25802 s3->rx2:5273856 s1->tx1:25862 s1->tx2:183012 s1->tx3:458196
s3->rx1:293328 s3->rx2:5270832 s1->tx1:293388 s1->tx2:181500 s1->tx3:456684
s3->rx1:2800196 s3->rx2:5266380 s1->tx1:2789392 s1->tx2:192084 s1->tx3:450636
s3->rx1:2638594 s3->rx2:5273940 s1->tx1:2626432 s1->tx2:193596 s1->tx3:447612
s3->rx1:3043278 s3->rx2:5263356 s1->tx1:2864082 s1->tx2:202668 s1->tx3:435516
s3->rx1:2752666 s3->rx2:1630020 s1->tx1:2955068 s1->tx2:208776 s1->tx3:432552
s3->rx1:2910194 s3->rx2:84 s1->tx1:2546370 s1->tx2:202668 s1->tx3:435516
s3->rx1:1984038 s3->rx2:1336692 s1->tx1:2348252 s1->tx2:149958 s1->tx3:470502
s3->rx1:729246 s3->rx2:5275368 s1->tx1:729306 s1->tx2:388644 s1->tx3:251052
s3->rx1:775418 s3->rx2:5266296 s1->tx1:699430 s1->tx2:320604 s1->tx3:320604
s3->rx1:765912 s3->rx2:5269320 s1->tx1:723874 s1->tx2:251052 s1->tx3:390156
s3->rx1:510608 s3->rx2:5269320 s1->tx1:646468 s1->tx2:189060 s1->tx3:449124
s3->rx1:1781696 s3->rx2:5273856 s1->tx1:1764102 s1->tx2:192084 s1->tx3:450696
s3->rx1:1751820 s3->rx2:5266296 s1->tx1:1751940 s1->tx2:198192 s1->tx3:441564
s3->rx1:957390 s3->rx2:5269320 s1->tx1:957450 s1->tx2:199644 s1->tx3:441564
s3->rx1:1009036 s3->rx2:5275368 s1->tx1:1009054 s1->tx2:211740 s1->tx3:429468
s3->rx1:1497958 s3->rx2:5266296 s1->tx1:1497934 s1->tx2:199644 s1->tx3:438540
s3->rx1:1908074 s3->rx2:5273856 s1->tx1:1828068 s1->tx2:198272 s1->tx3:444798
s3->rx1:1770916 s3->rx2:5276880 s1->tx1:1851014 s1->tx2:190614 s1->tx3:447654
s3->rx1:713034 s3->rx2:5258736 s1->tx1:626098 s1->tx2:213364 s1->tx3:428058
s3->rx1:805336 s3->rx2:5276880 s1->tx1:828500 s1->tx2:198234 s1->tx3:443118
s3->rx1:1480220 s3->rx2:5267808 s1->tx1:1530666 s1->tx2:207344 s1->tx3:431120
s3->rx1:1260266 s3->rx2:5275368 s1->tx1:1051152 s1->tx2:201198 s1->tx3:443118
s3->rx1:1195152 s3->rx2:5269320 s1->tx1:1418162 s1->tx2:198384 s1->tx3:440304
s3->rx1:1239938 s3->rx2:5273856 s1->tx1:1239914 s1->tx2:214806 s1->tx3:427998
s3->rx1:1766800 s3->rx2:5263272 s1->tx1:1767427 s1->tx2:133592 s1->tx3:306163
s3->rx1:941178 s3->rx2:5260248 s1->tx1:941357 s1->tx2:201604 s1->tx3:438785
s3->rx1:852908 s3->rx2:5269390 s1->tx1:852954 s1->tx2:205804 s1->tx3:434116
s3->rx1:598920 s3->rx2:5270832 s1->tx1:598938 s1->tx2:216318 s1->tx3:426546
s3->rx1:894964 s3->rx2:5275368 s1->tx1:895042 s1->tx2:190674 s1->tx3:449166
s3->rx1:1458534 s3->rx2:5272344 s1->tx1:1364850 s1->tx2:202710 s1->tx3:438582
s3->rx1:957432 s3->rx2:5266296 s1->tx1:998190 s1->tx2:198174 s1->tx3:440094
s3->rx1:2288230 s3->rx2:5269320 s1->tx1:2043850 s1->tx2:199644 s1->tx3:443076
s3->rx1:1724744 s3->rx2:5269320 s1->tx1:1988172 s1->tx2:204222 s1->tx3:435558
s3->rx1:742910 s3->rx2:5270832 s1->tx1:794490 s1->tx2:195150 s1->tx3:443118
s3->rx1:953400 s3->rx2:5270832 s1->tx1:935722 s1->tx2:196662 s1->tx3:447714
s3->rx1:774102 s3->rx2:5269320 s1->tx1:774180 s1->tx2:198192 s1->tx3:440052
s3->rx1:42 s3->rx2:5275368 s1->tx1:60 s1->tx2:198132 s1->tx3:444588
s3->rx1:1850954 s3->rx2:5267892 s1->tx1:1851056 s1->tx2:195108 s1->tx3:444588
s3->rx1:1560342 s3->rx2:5264868 s1->tx1:1560402 s1->tx2:198132 s1->tx3:441564
s3->rx1:1436764 s3->rx2:5267892 s1->tx1:1436824 s1->tx2:193596 s1->tx3:447612
s3->rx1:813442 s3->rx2:1506036 s1->tx1:813502 s1->tx2:210228 s1->tx3:427956
s3->rx1:870478 s3->rx2:84 s1->tx1:870538 s1->tx2:201156 s1->tx3:441564
s3->rx1:1364832 s3->rx2:84 s1->tx1:1234776 s1->tx2:193848 s1->tx3:419196
s3->rx1:1393308 s3->rx2:5508216 s1->tx1:1273924 s1->tx2:320664 s1->tx3:319092
s3->rx1:1567132 s3->rx2:5273856 s1->tx1:1544106 s1->tx2:320604 s1->tx3:319092
s3->rx1:1575280 s3->rx2:5267808 s1->tx1:1848298 s1->tx2:276756 s1->tx3:364452
s3->rx1:2392796 s3->rx2:5276880 s1->tx1:2392856 s1->tx2:199644 s1->tx3:443076
s3->rx1:1893052 s3->rx2:5272344 s1->tx1:1893112 s1->tx2:201156 s1->tx3:440052
s3->rx1:1417752 s3->rx2:5275368 s1->tx1:1417812 s1->tx2:207204 s1->tx3:432492
s3->rx1:1063314 s3->rx2:5272344 s1->tx1:1063374 s1->tx2:202668 s1->tx3:440112
s3->rx1:181972 s3->rx2:5273856 s1->tx1:182092 s1->tx2:201216 s1->tx3:435516
s3->rx1:687148 s3->rx2:5275368 s1->tx1:687208 s1->tx2:208716 s1->tx3:435516
s3->rx1:1047018 s3->rx2:5270832 s1->tx1:1047078 s1->tx2:196620 s1->tx3:443076
s3->rx1:862330 s3->rx2:5270832 s1->tx1:862390 s1->tx2:198132 s1->tx3:443076
s3->rx1:200984 s3->rx2:5273856 s1->tx1:201044 s1->tx2:187548 s1->tx3:421908
s3->rx1:157528 s3->rx2:5266296 s1->tx1:157588 s1->tx2:207204 s1->tx3:432492
s3->rx1:1294174 s3->rx2:5264784 s1->tx1:1324110 s1->tx2:190572 s1->tx3:449124
s3->rx1:1250718 s3->rx2:5275368 s1->tx1:1070164 s1->tx2:187608 s1->tx3:453720
s3->rx1:1390592 s3->rx2:5266296 s1->tx1:1541450 s1->tx2:195108 s1->tx3:444588
s3->rx1:1461208 s3->rx2:5278392 s1->tx1:1461268 s1->tx2:204180 s1->tx3:437028
s3->rx1:1620094 s3->rx2:5269320 s1->tx1:1620154 s1->tx2:202668 s1->tx3:435516
s3->rx1:1874040 s3->rx2:5269320 s1->tx1:1822496 s1->tx2:217788 s1->tx3:426444
s3->rx1:2441684 s3->rx2:5273856 s1->tx1:2466188 s1->tx2:210228 s1->tx3:427956
s3->rx1:1599724 s3->rx2:5272344 s1->tx1:1626944 s1->tx2:205692 s1->tx3:437028
s3->rx1:1834658 s3->rx2:5272344 s1->tx1:1617438 s1->tx2:208776 s1->tx3:431040
s3->rx1:2510942 s3->rx2:5270832 s1->tx1:2182426 s1->tx2:207204 s1->tx3:434004
s3->rx1:1091832 s3->rx2:5267808 s1->tx1:1559044 s1->tx2:187548 s1->tx3:453660
s3->rx1:1291458 s3->rx2:5264784 s1->tx1:1220902 s1->tx2:204180 s1->tx3:432492
s3->rx1:1082326 s3->rx2:5266296 s1->tx1:1139422 s1->tx2:208716 s1->tx3:434004
s3->rx1:871836 s3->rx2:5272344 s1->tx1:976462 s1->tx2:192084 s1->tx3:447612
s3->rx1:707518 s3->rx2:5267808 s1->tx1:695426 s1->tx2:205762 s1->tx3:434144
s3->rx1:479374 s3->rx2:5269320 s1->tx1:479434 s1->tx2:196620 s1->tx3:446160
s3->rx1:733320 s3->rx2:5278392 s1->tx1:733440 s1->tx2:205752 s1->tx3:432492
s3->rx1:962822 s3->rx2:5264868 s1->tx1:962882 s1->tx2:201156 s1->tx3:441564
s3->rx1:1091832 s3->rx2:5276964 s1->tx1:1091962 s1->tx2:190642 s1->tx3:447682
