s3->rx1:646 s3->rx2:736 s1->tx1:14028 s1->tx2:13826 s1->tx3:14070
s3->rx1:1904 s3->rx2:574952 s1->tx1:3566 s1->tx2:315037 s1->tx3:322556
s3->rx1:70 s3->rx2:5266296 s1->tx1:1967 s1->tx2:2635872 s1->tx3:2637313
s3->rx1:0 s3->rx2:5272414 s1->tx1:682 s1->tx2:2636300 s1->tx3:2636168
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2632512 s1->tx3:2634024
s3->rx1:0 s3->rx2:5270832 s1->tx1:897 s1->tx2:2637436 s1->tx3:2636127
s3->rx1:336 s3->rx2:5271168 s1->tx1:634 s1->tx2:2636379 s1->tx3:2636176
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2636988 s1->tx3:2636988
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5273856 s1->tx1:270 s1->tx2:2635686 s1->tx3:2637198
s3->rx1:70 s3->rx2:5273856 s1->tx1:410 s1->tx2:2637338 s1->tx3:2637198
s3->rx1:0 s3->rx2:5273856 s1->tx1:340 s1->tx2:2637328 s1->tx3:2637468
s3->rx1:0 s3->rx2:5270902 s1->tx1:190 s1->tx2:2634034 s1->tx3:2634034
s3->rx1:0 s3->rx2:5267808 s1->tx1:872 s1->tx2:2636288 s1->tx3:2634776
s3->rx1:0 s3->rx2:5270832 s1->tx1:263 s1->tx2:2637191 s1->tx3:2638703
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2632452 s1->tx3:2630940
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2636988 s1->tx3:2636988
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2635476 s1->tx3:2637048
s3->rx1:0 s3->rx2:5279904 s1->tx1:120 s1->tx2:2640072 s1->tx3:2638500
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2635476 s1->tx3:2636988
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2635476 s1->tx3:2632452
s3->rx1:0 s3->rx2:5263272 s1->tx1:60 s1->tx2:2632452 s1->tx3:2635476
s3->rx1:0 s3->rx2:5270832 s1->tx1:340 s1->tx2:2635756 s1->tx3:2637198
s3->rx1:0 s3->rx2:5275368 s1->tx1:130 s1->tx2:2638640 s1->tx3:2635546
s3->rx1:0 s3->rx2:5270832 s1->tx1:200 s1->tx2:2635546 s1->tx3:2637118
s3->rx1:70 s3->rx2:5272344 s1->tx1:190 s1->tx2:2635676 s1->tx3:2634104
s3->rx1:0 s3->rx2:5267808 s1->tx1:200 s1->tx2:2634104 s1->tx3:2634104
s3->rx1:0 s3->rx2:5264784 s1->tx1:60 s1->tx2:2630940 s1->tx3:2635476
s3->rx1:336 s3->rx2:5276950 s1->tx1:1138 s1->tx2:1357332 s1->tx3:1343864
s3->rx1:0 s3->rx2:5264784 s1->tx1:263 s1->tx2:320807 s1->tx3:319295
s3->rx1:0 s3->rx2:5270832 s1->tx1:340 s1->tx2:320884 s1->tx3:320884
s3->rx1:293328 s3->rx2:5273856 s1->tx1:293388 s1->tx2:518676 s1->tx3:119508
s3->rx1:259378 s3->rx2:5267808 s1->tx1:259438 s1->tx2:565548 s1->tx3:75720
s3->rx1:33950 s3->rx2:5267808 s1->tx1:34010 s1->tx2:562584 s1->tx3:80196
s3->rx1:35308 s3->rx2:5270832 s1->tx1:35428 s1->tx2:565548 s1->tx3:72636
s3->rx1:283822 s3->rx2:5276880 s1->tx1:292030 s1->tx2:568572 s1->tx3:74148
s3->rx1:2800238 s3->rx2:5270832 s1->tx1:2792108 s1->tx2:559500 s1->tx3:78684
s3->rx1:2638636 s3->rx2:5276880 s1->tx1:2638654 s1->tx2:573108 s1->tx3:68100
s3->rx1:3043320 s3->rx2:5270832 s1->tx1:2927950 s1->tx2:547404 s1->tx3:93804
s3->rx1:2752666 s3->rx2:5267808 s1->tx1:2868156 s1->tx2:548916 s1->tx3:90780
s3->rx1:2910194 s3->rx2:5267808 s1->tx1:2635980 s1->tx2:553512 s1->tx3:87816
s3->rx1:1984038 s3->rx2:5270832 s1->tx1:2258474 s1->tx2:529260 s1->tx3:110436
s3->rx1:729246 s3->rx2:5270832 s1->tx1:729306 s1->tx2:542868 s1->tx3:98340
s3->rx1:775418 s3->rx2:5267808 s1->tx1:775478 s1->tx2:538332 s1->tx3:102876
s3->rx1:765912 s3->rx2:5276880 s1->tx1:740170 s1->tx2:556476 s1->tx3:84732
s3->rx1:775418 s3->rx2:5267808 s1->tx1:643752 s1->tx2:561012 s1->tx3:78684
s3->rx1:1883546 s3->rx2:5270832 s1->tx1:1720646 s1->tx2:554964 s1->tx3:86244
s3->rx1:1385160 s3->rx2:5258736 s1->tx1:1705708 s1->tx2:561072 s1->tx3:77232
s3->rx1:957390 s3->rx2:5276880 s1->tx1:957580 s1->tx2:564106 s1->tx3:77242
s3->rx1:1009036 s3->rx2:5270832 s1->tx1:1009054 s1->tx2:561012 s1->tx3:80196
s3->rx1:1497916 s3->rx2:5270832 s1->tx1:1498144 s1->tx2:550638 s1->tx3:89408
s3->rx1:1908032 s3->rx2:5267808 s1->tx1:1908050 s1->tx2:551940 s1->tx3:90780
s3->rx1:1110886 s3->rx2:5282928 s1->tx1:1111044 s1->tx2:550638 s1->tx3:89408
s3->rx1:42 s3->rx2:5273940 s1->tx1:60 s1->tx2:547404 s1->tx3:95316
s3->rx1:42 s3->rx2:5270916 s1->tx1:60 s1->tx2:557988 s1->tx3:80256
s3->rx1:42 s3->rx2:5267892 s1->tx1:120 s1->tx2:570144 s1->tx3:71124
s3->rx1:1382444 s3->rx2:4366698 s1->tx1:1254894 s1->tx2:570196 s1->tx3:71278
s3->rx1:1345778 s3->rx2:2632434 s1->tx1:1406948 s1->tx2:567060 s1->tx3:72636
s3->rx1:1086470 s3->rx2:2636970 s1->tx1:1181660 s1->tx2:553522 s1->tx3:87826
s3->rx1:1765400 s3->rx2:2638482 s1->tx1:1737551 s1->tx2:53589 s1->tx3:591861
s3->rx1:939736 s3->rx2:4755240 s1->tx1:940111 s1->tx2:375 s1->tx3:639951
s3->rx1:1177386 s3->rx2:5269320 s1->tx1:1177446 s1->tx2:60 s1->tx3:641148
s3->rx1:1140720 s3->rx2:5275438 s1->tx1:1140850 s1->tx2:110436 s1->tx3:527948
s3->rx1:893564 s3->rx2:5267808 s1->tx1:893684 s1->tx2:562584 s1->tx3:77172
s3->rx1:1457134 s3->rx2:5273856 s1->tx1:1457194 s1->tx2:562524 s1->tx3:80196
s3->rx1:956032 s3->rx2:5273856 s1->tx1:956092 s1->tx2:565548 s1->tx3:74148
s3->rx1:2286872 s3->rx2:5273856 s1->tx1:2103602 s1->tx2:556476 s1->tx3:84732
s3->rx1:1723302 s3->rx2:5273856 s1->tx1:1906692 s1->tx2:553452 s1->tx3:86244
s3->rx1:962822 s3->rx2:5267808 s1->tx1:877328 s1->tx2:554964 s1->tx3:89268
s3->rx1:911218 s3->rx2:5279904 s1->tx1:894982 s1->tx2:550428 s1->tx3:87756
s3->rx1:1421868 s3->rx2:5276880 s1->tx1:1421886 s1->tx2:564096 s1->tx3:78744
s3->rx1:1322734 s3->rx2:5270832 s1->tx1:1455896 s1->tx2:567060 s1->tx3:72636
s3->rx1:1984080 s3->rx2:5270832 s1->tx1:1952864 s1->tx2:565548 s1->tx3:75660
s3->rx1:1560342 s3->rx2:5273856 s1->tx1:1560402 s1->tx2:545892 s1->tx3:93804
s3->rx1:1438164 s3->rx2:5269320 s1->tx1:1438182 s1->tx2:547446 s1->tx3:93846
s3->rx1:814842 s3->rx2:5267808 s1->tx1:814860 s1->tx2:544422 s1->tx3:95358
s3->rx1:871878 s3->rx2:5272344 s1->tx1:871896 s1->tx2:547446 s1->tx3:93846
s3->rx1:1366190 s3->rx2:5273856 s1->tx1:1366208 s1->tx2:568674 s1->tx3:71226
s3->rx1:1394708 s3->rx2:5270832 s1->tx1:1279356 s1->tx2:565590 s1->tx3:75702
s3->rx1:1664950 s3->rx2:5273856 s1->tx1:1549580 s1->tx2:559542 s1->tx3:81750
s3->rx1:1958236 s3->rx2:5273856 s1->tx1:1833360 s1->tx2:539844 s1->tx3:101364
s3->rx1:2349340 s3->rx2:5276880 s1->tx1:2403720 s1->tx2:550428 s1->tx3:90780
s3->rx1:1711080 s3->rx2:5272344 s1->tx1:1834718 s1->tx2:547404 s1->tx3:93804
s3->rx1:1162448 s3->rx2:5275368 s1->tx1:1363492 s1->tx2:548916 s1->tx3:92292
s3->rx1:1063314 s3->rx2:5276880 s1->tx1:1040288 s1->tx2:548916 s1->tx3:92292
s3->rx1:181972 s3->rx2:5273898 s1->tx1:182032 s1->tx2:562584 s1->tx3:77232
s3->rx1:687148 s3->rx2:5269362 s1->tx1:687268 s1->tx2:556476 s1->tx3:86244
s3->rx1:1047018 s3->rx2:5270874 s1->tx1:1047078 s1->tx2:565548 s1->tx3:72636
s3->rx1:862330 s3->rx2:4259346 s1->tx1:862390 s1->tx2:570084 s1->tx3:71124
s3->rx1:200984 s3->rx2:2635500 s1->tx1:201044 s1->tx2:557988 s1->tx3:83220
s3->rx1:157528 s3->rx2:2633988 s1->tx1:157588 s1->tx2:553452 s1->tx3:86244
s3->rx1:1526392 s3->rx2:2635500 s1->tx1:1465342 s1->tx2:636612 s1->tx3:4596
s3->rx1:1089116 s3->rx2:1614900 s1->tx1:1067448 s1->tx2:641148 s1->tx3:120
s3->rx1:1652686 s3->rx2:2556834 s1->tx1:1519722 s1->tx2:639738 s1->tx3:60
s3->rx1:1368864 s3->rx2:2632434 s1->tx1:1400158 s1->tx2:639636 s1->tx3:60
s3->rx1:1379728 s3->rx2:5187672 s1->tx1:1564560 s1->tx2:641232 s1->tx3:144
s3->rx1:1874040 s3->rx2:5276880 s1->tx1:1874100 s1->tx2:641148 s1->tx3:60
s3->rx1:2441726 s3->rx2:5267808 s1->tx1:2441744 s1->tx2:600324 s1->tx3:39372
s3->rx1:1599766 s3->rx2:5273856 s1->tx1:1599784 s1->tx2:542868 s1->tx3:98340
s3->rx1:1834700 s3->rx2:5272344 s1->tx1:1757312 s1->tx2:538332 s1->tx3:104388
s3->rx1:1777664 s3->rx2:5272344 s1->tx1:1855088 s1->tx2:551940 s1->tx3:87756
s3->rx1:805294 s3->rx2:5279904 s1->tx1:805396 s1->tx2:545952 s1->tx3:95376
s3->rx1:1291458 s3->rx2:5275368 s1->tx1:1291788 s1->tx2:546102 s1->tx3:95526
s3->rx1:1082326 s3->rx2:5275368 s1->tx1:1082428 s1->tx2:561054 s1->tx3:80238
s3->rx1:1010352 s3->rx2:5273856 s1->tx1:1010412 s1->tx2:553452 s1->tx3:86244
s3->rx1:698012 s3->rx2:5267808 s1->tx1:680418 s1->tx2:562524 s1->tx3:80196
s3->rx1:414190 s3->rx2:5276880 s1->tx1:421110 s1->tx2:555034 s1->tx3:86244
s3->rx1:669494 s3->rx2:5270832 s1->tx1:680418 s1->tx2:550428 s1->tx3:89268
s3->rx1:962822 s3->rx2:5267808 s1->tx1:962952 s1->tx2:564236 s1->tx3:75790
s3->rx1:1091832 s3->rx2:5273856 s1->tx1:1091952 s1->tx2:573108 s1->tx3:68100
s3->rx1:3008012 s3->rx2:5278392 s1->tx1:2381992 s1->tx2:553452 s1->tx3:87756
s3->rx1:1641864 s3->rx2:5269320 s1->tx1:2267920 s1->tx2:567060 s1->tx3:72636
s3->rx1:1087800 s3->rx2:5270832 s1->tx1:1087888 s1->tx2:561082 s1->tx3:81778
s3->rx1:1177386 s3->rx2:5273856 s1->tx1:1177446 s1->tx2:548916 s1->tx3:90780
s3->rx1:1146194 s3->rx2:5270832 s1->tx1:1146212 s1->tx2:561054 s1->tx3:80238
s3->rx1:1463924 s3->rx2:5267808 s1->tx1:1464026 s1->tx2:553452 s1->tx3:86304
s3->rx1:331352 s3->rx2:5279904 s1->tx1:266288 s1->tx2:562584 s1->tx3:80196
s3->rx1:1207262 s3->rx2:5273856 s1->tx1:1129916 s1->tx2:559500 s1->tx3:80196
s3->rx1:1002204 s3->rx2:5282928 s1->tx1:1013128 s1->tx2:551940 s1->tx3:89268
s3->rx1:881342 s3->rx2:5264784 s1->tx1:1013128 s1->tx2:570084 s1->tx3:71124
s3->rx1:1159732 s3->rx2:5267808 s1->tx1:1159792 s1->tx2:556546 s1->tx3:83290
s3->rx1:1165164 s3->rx2:5272344 s1->tx1:1165630 s1->tx2:561215 s1->tx3:79090
