s3->rx1:646 s3->rx2:646 s1->tx1:13388 s1->tx2:13298 s1->tx3:13298
s3->rx1:1904 s3->rx2:506912 s1->tx1:3969 s1->tx2:279356 s1->tx3:291249
s3->rx1:70 s3->rx2:5260248 s1->tx1:1284 s1->tx2:2633613 s1->tx3:2632164
s3->rx1:0 s3->rx2:5269390 s1->tx1:1568 s1->tx2:2635332 s1->tx3:2636984
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2635536 s1->tx3:2635536
s3->rx1:0 s3->rx2:5270832 s1->tx1:736 s1->tx2:2636127 s1->tx3:2635924
s3->rx1:336 s3->rx2:5275704 s1->tx1:795 s1->tx2:2637688 s1->tx3:2637891
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2635476 s1->tx3:2636988
s3->rx1:0 s3->rx2:5276880 s1->tx1:60 s1->tx2:2640012 s1->tx3:2636988
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5267808 s1->tx1:410 s1->tx2:2634314 s1->tx3:2637198
s3->rx1:70 s3->rx2:5272414 s1->tx1:620 s1->tx2:2636096 s1->tx3:2634654
s3->rx1:0 s3->rx2:5266296 s1->tx1:120 s1->tx2:2633964 s1->tx3:2634034
s3->rx1:0 s3->rx2:5267808 s1->tx1:669 s1->tx2:2636288 s1->tx3:2636085
s3->rx1:0 s3->rx2:5279904 s1->tx1:466 s1->tx2:2638703 s1->tx3:2638906
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2633964 s1->tx3:2633964
s3->rx1:0 s3->rx2:5266296 s1->tx1:60 s1->tx2:2635476 s1->tx3:2636988
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2635476 s1->tx3:2632452
s3->rx1:0 s3->rx2:5266296 s1->tx1:60 s1->tx2:2633964 s1->tx3:2637048
s3->rx1:0 s3->rx2:5272344 s1->tx1:120 s1->tx2:2637048 s1->tx3:2636988
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2638500 s1->tx3:2636988
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2633964 s1->tx3:2633964
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2635476 s1->tx3:2636988
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2633964 s1->tx3:2632452
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:2635546 s1->tx3:2633964
s3->rx1:0 s3->rx2:5272344 s1->tx1:340 s1->tx2:2637268 s1->tx3:2638770
s3->rx1:0 s3->rx2:5278392 s1->tx1:190 s1->tx2:2641584 s1->tx3:2641524
s3->rx1:70 s3->rx2:5276880 s1->tx1:200 s1->tx2:2635616 s1->tx3:2637128
s3->rx1:0 s3->rx2:5275368 s1->tx1:60 s1->tx2:2638500 s1->tx3:2635476
s3->rx1:336 s3->rx2:5266366 s1->tx1:1621 s1->tx2:1475821 s1->tx3:1466889
s3->rx1:0 s3->rx2:5264784 s1->tx1:60 s1->tx2:326652 s1->tx3:314556
s3->rx1:0 s3->rx2:5267808 s1->tx1:270 s1->tx2:313254 s1->tx3:326862
s3->rx1:293328 s3->rx2:5270832 s1->tx1:293388 s1->tx2:163356 s1->tx3:477852
s3->rx1:259378 s3->rx2:5270832 s1->tx1:259438 s1->tx2:124044 s1->tx3:517224
s3->rx1:33950 s3->rx2:5267808 s1->tx1:34070 s1->tx2:113520 s1->tx3:526236
s3->rx1:25802 s3->rx2:5273856 s1->tx1:25862 s1->tx2:108924 s1->tx3:533796
s3->rx1:293328 s3->rx2:5276880 s1->tx1:293388 s1->tx2:83220 s1->tx3:557988
