s3->rx1:736 s3->rx2:646 s1->tx1:14010 s1->tx2:14010 s1->tx3:14052
s3->rx1:1904 s3->rx2:623336 s1->tx1:3769 s1->tx2:346993 s1->tx3:356023
s3->rx1:0 s3->rx2:5287464 s1->tx1:1624 s1->tx2:2638552 s1->tx3:2639994
s3->rx1:0 s3->rx2:5270902 s1->tx1:682 s1->tx2:2637610 s1->tx3:2637680
s3->rx1:70 s3->rx2:5273856 s1->tx1:200 s1->tx2:2637188 s1->tx3:2637188
s3->rx1:0 s3->rx2:5276880 s1->tx1:974 s1->tx2:2637842 s1->tx3:2636085
s3->rx1:336 s3->rx2:5274192 s1->tx1:557 s1->tx2:2638997 s1->tx3:2639242
s3->rx1:0 s3->rx2:5272344 s1->tx1:60 s1->tx2:2636988 s1->tx3:2638500
s3->rx1:0 s3->rx2:5278392 s1->tx1:60 s1->tx2:2636988 s1->tx3:2635476
s3->rx1:0 s3->rx2:5269320 s1->tx1:270 s1->tx2:2634174 s1->tx3:2634174
s3->rx1:0 s3->rx2:5267808 s1->tx1:200 s1->tx2:2635686 s1->tx3:2635616
s3->rx1:0 s3->rx2:5276950 s1->tx1:410 s1->tx2:2637328 s1->tx3:2638910
s3->rx1:70 s3->rx2:5267808 s1->tx1:330 s1->tx2:2634174 s1->tx3:2634174
s3->rx1:0 s3->rx2:5270832 s1->tx1:872 s1->tx2:2636288 s1->tx3:2634776
s3->rx1:0 s3->rx2:5267808 s1->tx1:263 s1->tx2:2635679 s1->tx3:2635679
s3->rx1:0 s3->rx2:5275368 s1->tx1:60 s1->tx2:2638500 s1->tx3:2638500
s3->rx1:0 s3->rx2:5275368 s1->tx1:60 s1->tx2:2638500 s1->tx3:2638500
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2635476 s1->tx3:2636988
s3->rx1:0 s3->rx2:5276880 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635536
s3->rx1:0 s3->rx2:5266296 s1->tx1:120 s1->tx2:2635536 s1->tx3:2636988
s3->rx1:0 s3->rx2:5278392 s1->tx1:60 s1->tx2:2638500 s1->tx3:2636988
s3->rx1:0 s3->rx2:5273856 s1->tx1:60 s1->tx2:2636988 s1->tx3:2636988
s3->rx1:0 s3->rx2:5270832 s1->tx1:130 s1->tx2:2637058 s1->tx3:2635546
s3->rx1:0 s3->rx2:5273856 s1->tx1:130 s1->tx2:2634034 s1->tx3:2635546
s3->rx1:0 s3->rx2:5270832 s1->tx1:200 s1->tx2:2635616 s1->tx3:2634104
s3->rx1:0 s3->rx2:5269320 s1->tx1:200 s1->tx2:2637058 s1->tx3:2638700
s3->rx1:0 s3->rx2:5278462 s1->tx1:260 s1->tx2:2637258 s1->tx3:2637058
s3->rx1:0 s3->rx2:5270832 s1->tx1:60 s1->tx2:2635476 s1->tx3:2635476
s3->rx1:0 s3->rx2:5273856 s1->tx1:130 s1->tx2:2637058 s1->tx3:2637128
s3->rx1:336 s3->rx2:5267808 s1->tx1:1159 s1->tx2:1340791 s1->tx3:1328695
s3->rx1:70 s3->rx2:5275368 s1->tx1:270 s1->tx2:320814 s1->tx3:320814
s3->rx1:0 s3->rx2:5275368 s1->tx1:60 s1->tx2:320604 s1->tx3:320604
s3->rx1:293328 s3->rx2:5282928 s1->tx1:293388 s1->tx2:408300 s1->tx3:234420
s3->rx1:259378 s3->rx2:5273856 s1->tx1:259438 s1->tx2:431040 s1->tx3:207264
s3->rx1:33950 s3->rx2:5276880 s1->tx1:34070 s1->tx2:437028 s1->tx3:207204
s3->rx1:35308 s3->rx2:5275368 s1->tx1:35368 s1->tx2:424932 s1->tx3:213252
