s3->rx1:90 s3->rx2:180 s1->tx1:452 s1->tx2:490 s1->tx3:404
s3->rx1:2122 s3->rx2:1701478 s1->tx1:4910 s1->tx2:1727798 s1->tx3:4958
s3->rx1:250 s3->rx2:2632552 s1->tx1:6651 s1->tx2:2634042 s1->tx3:5908
s3->rx1:42 s3->rx2:2623410 s1->tx1:3544 s1->tx2:2629888 s1->tx3:4287
s3->rx1:0 s3->rx2:2627856 s1->tx1:1015 s1->tx2:2627359 s1->tx3:1015
s3->rx1:0 s3->rx2:2618784 s1->tx1:882 s1->tx2:2613688 s1->tx3:882
s3->rx1:406 s3->rx2:2610118 s1->tx1:1918 s1->tx2:2615893 s1->tx3:1918
s3->rx1:0 s3->rx2:2621808 s1->tx1:273 s1->tx2:2620569 s1->tx3:273
s3->rx1:0 s3->rx2:2621808 s1->tx1:406 s1->tx2:2625238 s1->tx3:203
s3->rx1:0 s3->rx2:2623320 s1->tx1:609 s1->tx2:2623929 s1->tx3:812
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2626344 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2629368 s1->tx3:0
s3->rx1:0 s3->rx2:2617272 s1->tx1:0 s1->tx2:2606688 s1->tx3:0
s3->rx1:0 s3->rx2:2612806 s1->tx1:280 s1->tx2:2620576 s1->tx3:280
s3->rx1:0 s3->rx2:2627856 s1->tx1:420 s1->tx2:2626764 s1->tx3:420
s3->rx1:70 s3->rx2:2617272 s1->tx1:210 s1->tx2:2618994 s1->tx3:210
s3->rx1:0 s3->rx2:2624832 s1->tx1:406 s1->tx2:2623726 s1->tx3:203
s3->rx1:0 s3->rx2:2620296 s1->tx1:609 s1->tx2:2620905 s1->tx3:812
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2626344 s1->tx3:0
s3->rx1:0 s3->rx2:2617272 s1->tx1:0 s1->tx2:2618784 s1->tx3:0
s3->rx1:0 s3->rx2:2632392 s1->tx1:0 s1->tx2:2629368 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2629368 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2626344 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2624832 s1->tx1:70 s1->tx2:2624902 s1->tx3:0
s3->rx1:0 s3->rx2:2617342 s1->tx1:140 s1->tx2:2609782 s1->tx3:210
s3->rx1:0 s3->rx2:2612736 s1->tx1:140 s1->tx2:2618924 s1->tx3:140
s3->rx1:215 s3->rx2:2627856 s1->tx1:215 s1->tx2:2627856 s1->tx3:0
s3->rx1:266168 s3->rx2:2621808 s1->tx1:152376 s1->tx2:2490684 s1->tx3:350
s3->rx1:32592 s3->rx2:2629368 s1->tx1:147476 s1->tx2:2760212 s1->tx3:609
s3->rx1:259448 s3->rx2:2624832 s1->tx1:259861 s1->tx2:2628269 s1->tx3:616
s3->rx1:28518 s3->rx2:2626344 s1->tx1:28518 s1->tx2:2623320 s1->tx3:0
s3->rx1:33992 s3->rx2:2623320 s1->tx1:33992 s1->tx2:2624832 s1->tx3:0
s3->rx1:1507380 s3->rx2:2627856 s1->tx1:953316 s1->tx2:2001888 s1->tx3:0
s3->rx1:2688840 s3->rx2:2618784 s1->tx1:1135288 s1->tx2:2050272 s1->tx3:0
s3->rx1:2755382 s3->rx2:2615760 s1->tx1:635544 s1->tx2:2535624 s1->tx3:0
s3->rx1:3100314 s3->rx2:2618784 s1->tx1:640976 s1->tx2:2549232 s1->tx3:0
s3->rx1:2436252 s3->rx2:2626344 s1->tx1:635544 s1->tx2:2558304 s1->tx3:0
s3->rx1:3259200 s3->rx2:2630880 s1->tx1:640976 s1->tx2:2543184 s1->tx3:0
s3->rx1:975044 s3->rx2:2627856 s1->tx1:566286 s1->tx2:2627856 s1->tx3:0
s3->rx1:526904 s3->rx2:2627856 s1->tx1:529620 s1->tx2:2673216 s1->tx3:0
s3->rx1:801220 s3->rx2:2623320 s1->tx1:596162 s1->tx2:2593080 s1->tx3:0
s3->rx1:769986 s3->rx2:2627856 s1->tx1:588014 s1->tx2:2608200 s1->tx3:0
s3->rx1:976402 s3->rx2:2624832 s1->tx1:566286 s1->tx2:2621808 s1->tx3:0
s3->rx1:1950088 s3->rx2:2618784 s1->tx1:630112 s1->tx2:2540160 s1->tx3:0
s3->rx1:1431332 s3->rx2:2614290 s1->tx1:613816 s1->tx2:2574978 s1->tx3:0
s3->rx1:810726 s3->rx2:2630880 s1->tx1:593446 s1->tx2:2602152 s1->tx3:0
s3->rx1:1197756 s3->rx2:2626344 s1->tx1:581224 s1->tx2:2614248 s1->tx3:0
s3->rx1:1664908 s3->rx2:2626344 s1->tx1:563570 s1->tx2:2612736 s1->tx3:0
s3->rx1:2030210 s3->rx2:2626344 s1->tx1:544558 s1->tx2:2650536 s1->tx3:0
s3->rx1:1253434 s3->rx2:2626344 s1->tx1:604310 s1->tx2:2597616 s1->tx3:0
s3->rx1:1208620 s3->rx2:2626344 s1->tx1:604310 s1->tx2:2587032 s1->tx3:0
s3->rx1:976402 s3->rx2:2623320 s1->tx1:586656 s1->tx2:2596104 s1->tx3:0
s3->rx1:1425900 s3->rx2:2612736 s1->tx1:613816 s1->tx2:2559816 s1->tx3:0
s3->rx1:1443554 s3->rx2:2620296 s1->tx1:598948 s1->tx2:2591638 s1->tx3:70
s3->rx1:1105412 s3->rx2:2626344 s1->tx1:602952 s1->tx2:2590056 s1->tx3:0
s3->rx1:1679846 s3->rx2:2627926 s1->tx1:596302 s1->tx2:2591638 s1->tx3:140
