s3->rx1:266 s3->rx2:90 s1->tx1:710 s1->tx2:662 s1->tx3:576
s3->rx1:1946 s3->rx2:1722736 s1->tx1:5094 s1->tx2:1745528 s1->tx3:5392
s3->rx1:250 s3->rx2:2628016 s1->tx1:6683 s1->tx2:2635981 s1->tx3:7043
s3->rx1:42 s3->rx2:2623410 s1->tx1:3309 s1->tx2:2625027 s1->tx3:2789
s3->rx1:0 s3->rx2:2626344 s1->tx1:1015 s1->tx2:2627562 s1->tx3:1218
s3->rx1:70 s3->rx2:2620296 s1->tx1:1505 s1->tx2:2615620 s1->tx3:1372
s3->rx1:336 s3->rx2:2605582 s1->tx1:1771 s1->tx2:2603853 s1->tx3:1701
s3->rx1:0 s3->rx2:2612736 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:203 s1->tx2:2625035 s1->tx3:203
s3->rx1:0 s3->rx2:2624832 s1->tx1:812 s1->tx2:2625644 s1->tx3:812
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:70 s1->tx2:2626414 s1->tx3:70
s3->rx1:70 s3->rx2:2624832 s1->tx1:700 s1->tx2:2623950 s1->tx3:630
s3->rx1:0 s3->rx2:2623320 s1->tx1:70 s1->tx2:2624902 s1->tx3:140
s3->rx1:0 s3->rx2:2627926 s1->tx1:70 s1->tx2:2624972 s1->tx3:70
s3->rx1:0 s3->rx2:2623320 s1->tx1:609 s1->tx2:2626953 s1->tx3:812
s3->rx1:0 s3->rx2:2617272 s1->tx1:406 s1->tx2:2608606 s1->tx3:203
s3->rx1:0 s3->rx2:2614248 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2621808 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
