s3->rx1:90 s3->rx2:90 s1->tx1:584 s1->tx2:400 s1->tx3:400
s3->rx1:2122 s3->rx2:1675864 s1->tx1:6432 s1->tx2:1699294 s1->tx3:5928
s3->rx1:250 s3->rx2:2623570 s1->tx1:7042 s1->tx2:2630804 s1->tx3:7324
s3->rx1:42 s3->rx2:2624832 s1->tx1:2464 s1->tx2:2627589 s1->tx3:2757
s3->rx1:0 s3->rx2:2624832 s1->tx1:812 s1->tx2:2628668 s1->tx3:812
s3->rx1:0 s3->rx2:2623320 s1->tx1:1358 s1->tx2:2614094 s1->tx3:1358
s3->rx1:406 s3->rx2:2604070 s1->tx1:1309 s1->tx2:2605176 s1->tx3:1512
s3->rx1:0 s3->rx2:2615760 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:609 s1->tx2:2629774 s1->tx3:406
s3->rx1:0 s3->rx2:2624832 s1->tx1:406 s1->tx2:2628465 s1->tx3:609
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:140 s1->tx2:2626554 s1->tx3:210
s3->rx1:70 s3->rx2:2623320 s1->tx1:560 s1->tx2:2625322 s1->tx3:560
s3->rx1:0 s3->rx2:3250870 s1->tx1:210 s1->tx2:3249498 s1->tx3:140
s3->rx1:0 s3->rx2:2627856 s1->tx1:812 s1->tx2:2627156 s1->tx3:812
s3->rx1:0 s3->rx2:2626344 s1->tx1:203 s1->tx2:2629571 s1->tx3:203
s3->rx1:0 s3->rx2:2629368 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2621808 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2620296 s1->tx1:0 s1->tx2:2614248 s1->tx3:0
s3->rx1:0 s3->rx2:2614248 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2629368 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
