s3->rx1:646 s3->rx2:646 s1->tx1:13378 s1->tx2:13378 s1->tx3:13506
s3->rx1:1904 s3->rx2:145544 s1->tx1:3968 s1->tx2:170288 s1->tx3:3926
s3->rx1:336 s3->rx2:2632392 s1->tx1:1621 s1->tx2:1014661 s1->tx3:1551
s3->rx1:70 s3->rx2:2635486 s1->tx1:1358 s1->tx2:640934 s1->tx3:1428
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:639636 s1->tx3:120
s3->rx1:0 s3->rx2:2636928 s1->tx1:407 s1->tx2:641250 s1->tx3:102
s3->rx1:336 s3->rx2:2631216 s1->tx1:837 s1->tx2:640658 s1->tx3:1082
s3->rx1:294 s3->rx2:2637222 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:294 s3->rx2:2634198 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:1041810 s1->tx1:172 s1->tx2:639706 s1->tx3:130
s3->rx1:70 s3->rx2:42 s1->tx1:270 s1->tx2:642870 s1->tx3:242
s3->rx1:0 s3->rx2:668416 s1->tx1:676 s1->tx2:637368 s1->tx3:918
s3->rx1:0 s3->rx2:2638440 s1->tx1:260 s1->tx2:641208 s1->tx3:130
s3->rx1:0 s3->rx2:2636928 s1->tx1:669 s1->tx2:640042 s1->tx3:466
s3->rx1:0 s3->rx2:2633904 s1->tx1:263 s1->tx2:640042 s1->tx3:466
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:120 s1->tx2:641208 s1->tx3:120
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:130 s1->tx2:639706 s1->tx3:130
s3->rx1:0 s3->rx2:2636928 s1->tx1:130 s1->tx2:641218 s1->tx3:130
s3->rx1:70 s3->rx2:2635416 s1->tx1:130 s1->tx2:641218 s1->tx3:60
s3->rx1:0 s3->rx2:2636998 s1->tx1:130 s1->tx2:641278 s1->tx3:190
s3->rx1:0 s3->rx2:2638440 s1->tx1:330 s1->tx2:639846 s1->tx3:340
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:1082 s1->tx2:640658 s1->tx3:1082
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:633588 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:293328 s3->rx2:2636928 s1->tx1:293388 s1->tx2:641148 s1->tx3:60
s3->rx1:259378 s3->rx2:2638440 s1->tx1:259438 s1->tx2:641208 s1->tx3:120
s3->rx1:27160 s3->rx2:2636928 s1->tx1:34070 s1->tx2:641148 s1->tx3:60
s3->rx1:32592 s3->rx2:2635416 s1->tx1:25862 s1->tx2:641148 s1->tx3:60
s3->rx1:293328 s3->rx2:2639952 s1->tx1:293388 s1->tx2:639636 s1->tx3:60
s3->rx1:2800196 s3->rx2:2632392 s1->tx1:2762232 s1->tx2:641148 s1->tx3:60
s3->rx1:2638594 s3->rx2:2636928 s1->tx1:2627790 s1->tx2:641148 s1->tx3:60
s3->rx1:3043320 s3->rx2:2636928 s1->tx1:2870872 s1->tx2:639636 s1->tx3:60
s3->rx1:2752708 s3->rx2:2635416 s1->tx1:2974080 s1->tx2:641148 s1->tx3:120
s3->rx1:2910278 s3->rx2:2638440 s1->tx1:2532790 s1->tx2:641208 s1->tx3:60
s3->rx1:785008 s3->rx2:2636928 s1->tx1:1162508 s1->tx2:641148 s1->tx3:60
s3->rx1:729288 s3->rx2:2635416 s1->tx1:729306 s1->tx2:641148 s1->tx3:60
s3->rx1:775418 s3->rx2:2639952 s1->tx1:692640 s1->tx2:641148 s1->tx3:60
s3->rx1:767312 s3->rx2:2633904 s1->tx1:726590 s1->tx2:639678 s1->tx3:102
s3->rx1:512008 s3->rx2:2635416 s1->tx1:646468 s1->tx2:641190 s1->tx3:102
s3->rx1:1783138 s3->rx2:2633904 s1->tx1:1772250 s1->tx2:639678 s1->tx3:162
s3->rx1:1753220 s3->rx2:2636928 s1->tx1:1753298 s1->tx2:641208 s1->tx3:60
s3->rx1:958832 s3->rx2:2635416 s1->tx1:958808 s1->tx2:641190 s1->tx3:102
s3->rx1:641060 s3->rx2:2633904 s1->tx1:641078 s1->tx2:639678 s1->tx3:102
s3->rx1:1497874 s3->rx2:2635416 s1->tx1:1498004 s1->tx2:639706 s1->tx3:130
s3->rx1:1907990 s3->rx2:2633946 s1->tx1:1821138 s1->tx2:641148 s1->tx3:60
s3->rx1:1769474 s3->rx2:2636970 s1->tx1:1849726 s1->tx2:641218 s1->tx3:130
s3->rx1:1410962 s3->rx2:2639994 s1->tx1:1333616 s1->tx2:641148 s1->tx3:60
s3->rx1:804048 s3->rx2:2203026 s1->tx1:827142 s1->tx2:641208 s1->tx3:120
s3->rx1:1478904 s3->rx2:2175768 s1->tx1:1529168 s1->tx2:641190 s1->tx3:60
s3->rx1:1258908 s3->rx2:2636998 s1->tx1:1051292 s1->tx2:641288 s1->tx3:130
s3->rx1:1193682 s3->rx2:2636928 s1->tx1:1412492 s1->tx2:639748 s1->tx3:172
s3->rx1:1239896 s3->rx2:2635416 s1->tx1:1239984 s1->tx2:641260 s1->tx3:242
s3->rx1:1766800 s3->rx2:2635416 s1->tx1:1767427 s1->tx2:635751 s1->tx3:508
s3->rx1:941136 s3->rx2:2636928 s1->tx1:941497 s1->tx2:640021 s1->tx3:648
s3->rx1:1178744 s3->rx2:2635416 s1->tx1:1178804 s1->tx2:641208 s1->tx3:120
s3->rx1:1142120 s3->rx2:2635416 s1->tx1:1142338 s1->tx2:641330 s1->tx3:312
s3->rx1:894964 s3->rx2:2638440 s1->tx1:894982 s1->tx2:641190 s1->tx3:102
s3->rx1:1458534 s3->rx2:2638440 s1->tx1:1385290 s1->tx2:641260 s1->tx3:102
s3->rx1:957390 s3->rx2:2635416 s1->tx1:1000906 s1->tx2:639636 s1->tx3:60
s3->rx1:2286872 s3->rx2:2636928 s1->tx1:2043892 s1->tx2:641148 s1->tx3:60
s3->rx1:1723302 s3->rx2:2632392 s1->tx1:1989530 s1->tx2:641148 s1->tx3:60
s3->rx1:962822 s3->rx2:2641464 s1->tx1:794490 s1->tx2:641148 s1->tx3:120
s3->rx1:730604 s3->rx2:2635416 s1->tx1:905906 s1->tx2:639696 s1->tx3:60
s3->rx1:1409604 s3->rx2:2633904 s1->tx1:1409664 s1->tx2:641148 s1->tx3:60
s3->rx1:1512812 s3->rx2:2644488 s1->tx1:1512872 s1->tx2:642660 s1->tx3:60
s3->rx1:1986754 s3->rx2:2633904 s1->tx1:1986814 s1->tx2:639636 s1->tx3:60
s3->rx1:1560342 s3->rx2:2635416 s1->tx1:1560402 s1->tx2:641148 s1->tx3:60
s3->rx1:1436764 s3->rx2:2636928 s1->tx1:1436824 s1->tx2:639636 s1->tx3:60
s3->rx1:813442 s3->rx2:2635416 s1->tx1:813502 s1->tx2:641148 s1->tx3:120
s3->rx1:870478 s3->rx2:2638440 s1->tx1:870598 s1->tx2:641208 s1->tx3:60
s3->rx1:1364790 s3->rx2:2633904 s1->tx1:1284728 s1->tx2:641148 s1->tx3:60
s3->rx1:1393308 s3->rx2:2636928 s1->tx1:1273864 s1->tx2:639636 s1->tx3:60
s3->rx1:1664950 s3->rx2:2633904 s1->tx1:1542748 s1->tx2:639636 s1->tx3:60
s3->rx1:1477546 s3->rx2:2632392 s1->tx1:1829286 s1->tx2:641148 s1->tx3:60
s3->rx1:2664438 s3->rx2:2636928 s1->tx1:2403720 s1->tx2:639636 s1->tx3:60
s3->rx1:1313228 s3->rx2:2635416 s1->tx1:1544106 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:641208 s1->tx3:120
s3->rx1:42 s3->rx2:2636928 s1->tx1:120 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:820232 s3->rx2:2636928 s1->tx1:820334 s1->tx2:639678 s1->tx3:102
s3->rx1:200984 s3->rx2:2635416 s1->tx1:201044 s1->tx2:641148 s1->tx3:60
s3->rx1:157528 s3->rx2:2635416 s1->tx1:157588 s1->tx2:641208 s1->tx3:120
s3->rx1:1526392 s3->rx2:2638440 s1->tx1:1368984 s1->tx2:641148 s1->tx3:60
s3->rx1:1089116 s3->rx2:2635416 s1->tx1:1068806 s1->tx2:639636 s1->tx3:60
s3->rx1:1319976 s3->rx2:2633904 s1->tx1:1519662 s1->tx2:641148 s1->tx3:60
s3->rx1:1461208 s3->rx2:2636928 s1->tx1:1439540 s1->tx2:639636 s1->tx3:60
