s3->rx1:732 s3->rx2:646 s1->tx1:13870 s1->tx2:13668 s1->tx3:13710
s3->rx1:1904 s3->rx2:296744 s1->tx1:3768 s1->tx2:323002 s1->tx3:3928
s3->rx1:336 s3->rx2:2632392 s1->tx1:1095 s1->tx2:937093 s1->tx3:1165
s3->rx1:0 s3->rx2:2636998 s1->tx1:1156 s1->tx2:640662 s1->tx3:1086
s3->rx1:70 s3->rx2:2632392 s1->tx1:130 s1->tx2:639706 s1->tx3:190
s3->rx1:0 s3->rx2:2633904 s1->tx1:813 s1->tx2:640144 s1->tx3:508
s3->rx1:336 s3->rx2:2635752 s1->tx1:431 s1->tx2:640252 s1->tx3:676
s3->rx1:294 s3->rx2:2637222 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:294 s3->rx2:2634198 s1->tx1:263 s1->tx2:639839 s1->tx3:263
s3->rx1:0 s3->rx2:1029714 s1->tx1:130 s1->tx2:641218 s1->tx3:60
s3->rx1:0 s3->rx2:42 s1->tx1:242 s1->tx2:639846 s1->tx3:340
s3->rx1:0 s3->rx2:674464 s1->tx1:466 s1->tx2:636948 s1->tx3:526
s3->rx1:0 s3->rx2:2633904 s1->tx1:470 s1->tx2:640046 s1->tx3:340
s3->rx1:70 s3->rx2:2633904 s1->tx1:669 s1->tx2:641757 s1->tx3:669
s3->rx1:0 s3->rx2:2635416 s1->tx1:263 s1->tx2:639839 s1->tx3:263
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639696 s1->tx3:120
s3->rx1:0 s3->rx2:2633904 s1->tx1:120 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2630880 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:200 s1->tx2:639846 s1->tx3:270
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2644488 s1->tx1:200 s1->tx2:642800 s1->tx3:200
s3->rx1:0 s3->rx2:2636928 s1->tx1:200 s1->tx2:641278 s1->tx3:260
s3->rx1:0 s3->rx2:2638440 s1->tx1:120 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633974 s1->tx1:809 s1->tx2:641897 s1->tx3:809
s3->rx1:0 s3->rx2:2635416 s1->tx1:263 s1->tx2:639839 s1->tx3:263
s3->rx1:70 s3->rx2:2633904 s1->tx1:200 s1->tx2:627680 s1->tx3:130
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2632392 s1->tx1:60 s1->tx2:639696 s1->tx3:120
s3->rx1:42 s3->rx2:2630880 s1->tx1:120 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
