s3->rx1:646 s3->rx2:646 s1->tx1:13630 s1->tx2:13874 s1->tx3:13762
s3->rx1:1904 s3->rx2:307328 s1->tx1:4012 s1->tx2:333587 s1->tx3:3970
s3->rx1:406 s3->rx2:2633904 s1->tx1:872 s1->tx2:909653 s1->tx3:872
s3->rx1:0 s3->rx2:2633974 s1->tx1:1701 s1->tx2:639493 s1->tx3:1701
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:120
s3->rx1:0 s3->rx2:2633904 s1->tx1:798 s1->tx2:640577 s1->tx3:738
s3->rx1:336 s3->rx2:2638776 s1->tx1:718 s1->tx2:640091 s1->tx3:718
s3->rx1:294 s3->rx2:2635710 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:294 s3->rx2:2634198 s1->tx1:102 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:943530 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:70 s3->rx2:42 s1->tx1:270 s1->tx2:641358 s1->tx3:200
s3->rx1:0 s3->rx2:756112 s1->tx1:676 s1->tx2:635786 s1->tx3:736
s3->rx1:0 s3->rx2:2635416 s1->tx1:330 s1->tx2:641348 s1->tx3:340
s3->rx1:0 s3->rx2:2638440 s1->tx1:669 s1->tx2:640448 s1->tx3:669
s3->rx1:0 s3->rx2:2630880 s1->tx1:263 s1->tx2:641148 s1->tx3:263
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:120 s1->tx2:639696 s1->tx3:120
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:200 s1->tx2:641288 s1->tx3:200
s3->rx1:70 s3->rx2:2635416 s1->tx1:130 s1->tx2:639706 s1->tx3:60
s3->rx1:0 s3->rx2:2642976 s1->tx1:130 s1->tx2:642860 s1->tx3:260
s3->rx1:0 s3->rx2:2633904 s1->tx1:190 s1->tx2:639706 s1->tx3:130
s3->rx1:0 s3->rx2:2635486 s1->tx1:270 s1->tx2:641358 s1->tx3:200
s3->rx1:0 s3->rx2:2635416 s1->tx1:872 s1->tx2:640448 s1->tx3:872
s3->rx1:0 s3->rx2:2635416 s1->tx1:200 s1->tx2:641218 s1->tx3:270
s3->rx1:0 s3->rx2:2639952 s1->tx1:60 s1->tx2:629052 s1->tx3:60
s3->rx1:42 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:641208 s1->tx3:120
s3->rx1:137200 s3->rx2:2636928 s1->tx1:137320 s1->tx2:641190 s1->tx3:102
s3->rx1:35308 s3->rx2:2635416 s1->tx1:35368 s1->tx2:639636 s1->tx3:60
s3->rx1:283822 s3->rx2:2636928 s1->tx1:312400 s1->tx2:641148 s1->tx3:60
s3->rx1:2800196 s3->rx2:2633946 s1->tx1:2771738 s1->tx2:639636 s1->tx3:60
s3->rx1:2638594 s3->rx2:2632434 s1->tx1:2638654 s1->tx2:641148 s1->tx3:60
s3->rx1:3043278 s3->rx2:2638482 s1->tx1:2946920 s1->tx2:641148 s1->tx3:60
s3->rx1:2752666 s3->rx2:870954 s1->tx1:2849144 s1->tx2:641148 s1->tx3:120
s3->rx1:2910194 s3->rx2:42 s1->tx1:2667232 s1->tx2:641208 s1->tx3:60
s3->rx1:1984038 s3->rx2:837690 s1->tx1:2227306 s1->tx2:627666 s1->tx3:186
s3->rx1:729246 s3->rx2:2636928 s1->tx1:729306 s1->tx2:641148 s1->tx3:60
s3->rx1:775418 s3->rx2:2638440 s1->tx1:775478 s1->tx2:639636 s1->tx3:60
s3->rx1:765912 s3->rx2:2632392 s1->tx1:765972 s1->tx2:641148 s1->tx3:60
s3->rx1:776776 s3->rx2:2639952 s1->tx1:654616 s1->tx2:641148 s1->tx3:60
s3->rx1:1909348 s3->rx2:2635416 s1->tx1:1720646 s1->tx2:641148 s1->tx3:120
s3->rx1:1358000 s3->rx2:2636928 s1->tx1:1697620 s1->tx2:641208 s1->tx3:60
s3->rx1:957432 s3->rx2:2635416 s1->tx1:928932 s1->tx2:641148 s1->tx3:60
s3->rx1:1009036 s3->rx2:2638440 s1->tx1:1009054 s1->tx2:639636 s1->tx3:60
s3->rx1:1499274 s3->rx2:2633904 s1->tx1:1499292 s1->tx2:641148 s1->tx3:60
s3->rx1:1907990 s3->rx2:2635416 s1->tx1:1908120 s1->tx2:639706 s1->tx3:130
s3->rx1:1770874 s3->rx2:2636928 s1->tx1:1770892 s1->tx2:641190 s1->tx3:102
s3->rx1:1412362 s3->rx2:2635416 s1->tx1:1412520 s1->tx2:639818 s1->tx3:172
s3->rx1:805336 s3->rx2:2635416 s1->tx1:805414 s1->tx2:641250 s1->tx3:162
s3->rx1:1480290 s3->rx2:2632392 s1->tx1:1480350 s1->tx2:639706 s1->tx3:130
s3->rx1:1260266 s3->rx2:2635416 s1->tx1:1165224 s1->tx2:641190 s1->tx3:102
s3->rx1:1347178 s3->rx2:2632392 s1->tx1:1409734 s1->tx2:639748 s1->tx3:172
s3->rx1:1353968 s3->rx2:2635416 s1->tx1:1180162 s1->tx2:641190 s1->tx3:102
s3->rx1:1500632 s3->rx2:2636998 s1->tx1:1708088 s1->tx2:633210 s1->tx3:1124
s3->rx1:939778 s3->rx2:2636928 s1->tx1:950702 s1->tx2:641190 s1->tx3:102
s3->rx1:1177386 s3->rx2:2627856 s1->tx1:1166582 s1->tx2:639696 s1->tx3:120
s3->rx1:1140762 s3->rx2:2638440 s1->tx1:1141043 s1->tx2:639839 s1->tx3:263
s3->rx1:893606 s3->rx2:2629368 s1->tx1:893694 s1->tx2:639706 s1->tx3:130
