s3->rx1:732 s3->rx2:732 s1->tx1:13968 s1->tx2:13912 s1->tx3:13710
s3->rx1:1904 s3->rx2:245336 s1->tx1:3670 s1->tx2:271350 s1->tx3:3725
s3->rx1:336 s3->rx2:2635416 s1->tx1:1408 s1->tx2:994862 s1->tx3:1409
s3->rx1:70 s3->rx2:2633904 s1->tx1:1095 s1->tx2:640671 s1->tx3:1297
s3->rx1:0 s3->rx2:2635486 s1->tx1:130 s1->tx2:639696 s1->tx3:190
s3->rx1:0 s3->rx2:2633904 s1->tx1:526 s1->tx2:640042 s1->tx3:263
s3->rx1:294 s3->rx2:2635710 s1->tx1:718 s1->tx2:640294 s1->tx3:921
s3->rx1:336 s3->rx2:2635752 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:294 s3->rx2:2634198 s1->tx1:263 s1->tx2:639839 s1->tx3:263
s3->rx1:0 s3->rx2:683466 s1->tx1:60 s1->tx2:639706 s1->tx3:60
s3->rx1:0 s3->rx2:42 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:70 s3->rx2:1017618 s1->tx1:466 s1->tx2:640042 s1->tx3:596
s3->rx1:0 s3->rx2:2638510 s1->tx1:610 s1->tx2:640116 s1->tx3:480
s3->rx1:0 s3->rx2:2633904 s1->tx1:669 s1->tx2:640245 s1->tx3:466
s3->rx1:0 s3->rx2:2633904 s1->tx1:263 s1->tx2:641351 s1->tx3:466
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:120
s3->rx1:0 s3->rx2:2633904 s1->tx1:120 s1->tx2:639696 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641218 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:130 s1->tx2:639836 s1->tx3:330
s3->rx1:0 s3->rx2:2635416 s1->tx1:190 s1->tx2:641218 s1->tx3:130
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:70 s3->rx2:2636998 s1->tx1:1222 s1->tx2:642240 s1->tx3:1082
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:636612 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:270 s1->tx2:641288 s1->tx3:270
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:641208 s1->tx3:120
s3->rx1:42 s3->rx2:2632392 s1->tx1:120 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2632392 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2638440 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:292012 s3->rx2:2635416 s1->tx1:292072 s1->tx2:641190 s1->tx3:162
s3->rx1:2910194 s3->rx2:2632392 s1->tx1:2574930 s1->tx2:639738 s1->tx3:102
s3->rx1:1984038 s3->rx2:2633904 s1->tx1:2319524 s1->tx2:639636 s1->tx3:60
s3->rx1:729246 s3->rx2:2633904 s1->tx1:729306 s1->tx2:641148 s1->tx3:60
s3->rx1:775418 s3->rx2:2635416 s1->tx1:722516 s1->tx2:639636 s1->tx3:60
s3->rx1:765954 s3->rx2:2635416 s1->tx1:725232 s1->tx2:641148 s1->tx3:60
s3->rx1:740152 s3->rx2:2633904 s1->tx1:642394 s1->tx2:639636 s1->tx3:60
s3->rx1:1552236 s3->rx2:2633904 s1->tx1:1743732 s1->tx2:641148 s1->tx3:120
s3->rx1:1751820 s3->rx2:2635416 s1->tx1:1751940 s1->tx2:639696 s1->tx3:60
s3->rx1:957390 s3->rx2:2632392 s1->tx1:957492 s1->tx2:639636 s1->tx3:60
s3->rx1:1008994 s3->rx2:2632392 s1->tx1:1009054 s1->tx2:639636 s1->tx3:60
s3->rx1:1499232 s3->rx2:2633904 s1->tx1:1499292 s1->tx2:641148 s1->tx3:60
s3->rx1:1907990 s3->rx2:2629368 s1->tx1:1832002 s1->tx2:638124 s1->tx3:60
s3->rx1:1769474 s3->rx2:2632392 s1->tx1:1845582 s1->tx2:639636 s1->tx3:60
s3->rx1:1410962 s3->rx2:2632392 s1->tx1:1325468 s1->tx2:639636 s1->tx3:60
s3->rx1:803936 s3->rx2:2630880 s1->tx1:817576 s1->tx2:639766 s1->tx3:120
s3->rx1:1478862 s3->rx2:2632392 s1->tx1:1527870 s1->tx2:641148 s1->tx3:60
s3->rx1:1258866 s3->rx2:2638440 s1->tx1:1051152 s1->tx2:641148 s1->tx3:130
s3->rx1:1193682 s3->rx2:2633946 s1->tx1:1424602 s1->tx2:639636 s1->tx3:60
s3->rx1:1238496 s3->rx2:2633946 s1->tx1:1238696 s1->tx2:639846 s1->tx3:270
s3->rx1:1765400 s3->rx2:2635458 s1->tx1:1766069 s1->tx2:641757 s1->tx3:669
s3->rx1:939736 s3->rx2:613984 s1->tx1:939999 s1->tx2:639839 s1->tx3:263
s3->rx1:1177386 s3->rx2:42 s1->tx1:1177446 s1->tx2:641148 s1->tx3:120
s3->rx1:1140720 s3->rx2:1099266 s1->tx1:1141246 s1->tx2:621958 s1->tx3:396
s3->rx1:893564 s3->rx2:2633904 s1->tx1:893624 s1->tx2:641148 s1->tx3:60
s3->rx1:1457204 s3->rx2:2636928 s1->tx1:1358270 s1->tx2:641288 s1->tx3:200
s3->rx1:956032 s3->rx2:2635416 s1->tx1:1002264 s1->tx2:641148 s1->tx3:60
s3->rx1:2286872 s3->rx2:2635416 s1->tx1:2039916 s1->tx2:639706 s1->tx3:200
s3->rx1:1723302 s3->rx2:2632392 s1->tx1:1984098 s1->tx2:639636 s1->tx3:60
s3->rx1:741468 s3->rx2:2635416 s1->tx1:795918 s1->tx2:641218 s1->tx3:130
s3->rx1:951958 s3->rx2:2638440 s1->tx1:937080 s1->tx2:641208 s1->tx3:120
s3->rx1:1409604 s3->rx2:2636928 s1->tx1:1409724 s1->tx2:639636 s1->tx3:60
s3->rx1:1512812 s3->rx2:2629368 s1->tx1:1512872 s1->tx2:639636 s1->tx3:60
