s3->rx1:732 s3->rx2:646 s1->tx1:13404 s1->tx2:13648 s1->tx3:13550
s3->rx1:1904 s3->rx2:316400 s1->tx1:3808 s1->tx2:340740 s1->tx3:3662
s3->rx1:406 s3->rx2:2632392 s1->tx1:1481 s1->tx2:904417 s1->tx3:1481
s3->rx1:0 s3->rx2:2632462 s1->tx1:1498 s1->tx2:640802 s1->tx3:1498
s3->rx1:0 s3->rx2:2633904 s1->tx1:130 s1->tx2:639706 s1->tx3:190
s3->rx1:0 s3->rx2:2636928 s1->tx1:120 s1->tx2:641411 s1->tx3:60
s3->rx1:336 s3->rx2:2635752 s1->tx1:1124 s1->tx2:640497 s1->tx3:1124
s3->rx1:294 s3->rx2:2637222 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:294 s3->rx2:2635710 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:709170 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:70 s3->rx2:42 s1->tx1:340 s1->tx2:639986 s1->tx3:340
s3->rx1:0 s3->rx2:975352 s1->tx1:466 s1->tx2:637088 s1->tx3:596
s3->rx1:0 s3->rx2:2633904 s1->tx1:470 s1->tx2:639906 s1->tx3:340
s3->rx1:0 s3->rx2:2635416 s1->tx1:263 s1->tx2:640042 s1->tx3:263
s3->rx1:0 s3->rx2:2632392 s1->tx1:669 s1->tx2:640042 s1->tx3:669
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:638124 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:120 s1->tx2:639696 s1->tx3:120
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2630880 s1->tx1:130 s1->tx2:639706 s1->tx3:130
s3->rx1:70 s3->rx2:2636928 s1->tx1:130 s1->tx2:641288 s1->tx3:130
s3->rx1:0 s3->rx2:2629368 s1->tx1:130 s1->tx2:639706 s1->tx3:200
s3->rx1:0 s3->rx2:2633904 s1->tx1:200 s1->tx2:641348 s1->tx3:190
s3->rx1:0 s3->rx2:2638510 s1->tx1:120 s1->tx2:639706 s1->tx3:130
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2632392 s1->tx1:1082 s1->tx2:640588 s1->tx3:1012
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:632076 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:270 s1->tx2:641288 s1->tx3:270
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:639696 s1->tx3:120
s3->rx1:42 s3->rx2:2635416 s1->tx1:120 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2633904 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2635458 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2635458 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2638482 s1->tx1:60 s1->tx2:641190 s1->tx3:60
s3->rx1:730646 s3->rx2:2632392 s1->tx1:668238 s1->tx2:639678 s1->tx3:102
s3->rx1:2752666 s3->rx2:2635416 s1->tx1:2815194 s1->tx2:641148 s1->tx3:120
