s3->rx1:646 s3->rx2:646 s1->tx1:13556 s1->tx2:13466 s1->tx3:13466
s3->rx1:1904 s3->rx2:1904 s1->tx1:3766 s1->tx2:3766 s1->tx3:3766
s3->rx1:406 s3->rx2:0 s1->tx1:1753 s1->tx2:1753 s1->tx3:1753
s3->rx1:0 s3->rx2:70 s1->tx1:1568 s1->tx2:1568 s1->tx3:1568
s3->rx1:0 s3->rx2:0 s1->tx1:130 s1->tx2:190 s1->tx3:190
s3->rx1:0 s3->rx2:0 s1->tx1:407 s1->tx2:305 s1->tx3:305
s3->rx1:336 s3->rx2:336 s1->tx1:1124 s1->tx2:1166 s1->tx3:1166
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:70 s3->rx2:0 s1->tx1:130 s1->tx2:130 s1->tx3:130
s3->rx1:0 s3->rx2:70 s1->tx1:480 s1->tx2:550 s1->tx3:550
s3->rx1:0 s3->rx2:0 s1->tx1:200 s1->tx2:130 s1->tx3:260
s3->rx1:0 s3->rx2:0 s1->tx1:400 s1->tx2:400 s1->tx3:270
s3->rx1:0 s3->rx2:0 s1->tx1:263 s1->tx2:263 s1->tx3:263
s3->rx1:0 s3->rx2:0 s1->tx1:872 s1->tx2:872 s1->tx3:872
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:120 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:70 s3->rx2:0 s1->tx1:340 s1->tx2:410 s1->tx3:410
s3->rx1:0 s3->rx2:0 s1->tx1:200 s1->tx2:200 s1->tx3:200
s3->rx1:0 s3->rx2:70 s1->tx1:270 s1->tx2:260 s1->tx3:330
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:872 s1->tx2:872 s1->tx3:669
s3->rx1:0 s3->rx2:0 s1->tx1:543 s1->tx2:543 s1->tx3:676
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:293328 s3->rx2:0 s1->tx1:293388 s1->tx2:60 s1->tx3:60
s3->rx1:252588 s3->rx2:0 s1->tx1:252648 s1->tx2:120 s1->tx3:120
s3->rx1:33950 s3->rx2:0 s1->tx1:34070 s1->tx2:60 s1->tx3:60
s3->rx1:32592 s3->rx2:0 s1->tx1:32652 s1->tx2:60 s1->tx3:60
s3->rx1:293328 s3->rx2:0 s1->tx1:293388 s1->tx2:60 s1->tx3:60
s3->rx1:2800196 s3->rx2:0 s1->tx1:2645444 s1->tx2:60 s1->tx3:60
s3->rx1:2638594 s3->rx2:0 s1->tx1:2618284 s1->tx2:60 s1->tx3:60
s3->rx1:3043278 s3->rx2:0 s1->tx1:2864082 s1->tx2:60 s1->tx3:60
s3->rx1:2752666 s3->rx2:0 s1->tx1:3069140 s1->tx2:60 s1->tx3:120
s3->rx1:2910194 s3->rx2:0 s1->tx1:2422792 s1->tx2:120 s1->tx3:60
s3->rx1:1984038 s3->rx2:0 s1->tx1:2478410 s1->tx2:60 s1->tx3:60
s3->rx1:604310 s3->rx2:0 s1->tx1:655974 s1->tx2:60 s1->tx3:60
s3->rx1:685790 s3->rx2:0 s1->tx1:665480 s1->tx2:60 s1->tx3:60
s3->rx1:784924 s3->rx2:0 s1->tx1:784984 s1->tx2:60 s1->tx3:60
s3->rx1:706160 s3->rx2:0 s1->tx1:706220 s1->tx2:60 s1->tx3:60
s3->rx1:1781696 s3->rx2:0 s1->tx1:1781756 s1->tx2:60 s1->tx3:60
s3->rx1:1751820 s3->rx2:0 s1->tx1:1751880 s1->tx2:120 s1->tx3:120
s3->rx1:957432 s3->rx2:0 s1->tx1:957552 s1->tx2:60 s1->tx3:60
s3->rx1:1008994 s3->rx2:0 s1->tx1:1009054 s1->tx2:60 s1->tx3:60
s3->rx1:1497874 s3->rx2:0 s1->tx1:1387936 s1->tx2:60 s1->tx3:60
s3->rx1:1907990 s3->rx2:0 s1->tx1:1746518 s1->tx2:130 s1->tx3:130
s3->rx1:1769516 s3->rx2:0 s1->tx1:1844266 s1->tx2:60 s1->tx3:60
s3->rx1:1116346 s3->rx2:0 s1->tx1:1327106 s1->tx2:410 s1->tx3:410
s3->rx1:863688 s3->rx2:0 s1->tx1:850168 s1->tx2:120 s1->tx3:120
s3->rx1:1587502 s3->rx2:0 s1->tx1:1587692 s1->tx2:130 s1->tx3:130
s3->rx1:1108128 s3->rx2:0 s1->tx1:1108188 s1->tx2:60 s1->tx3:60
s3->rx1:1470714 s3->rx2:0 s1->tx1:1470914 s1->tx2:130 s1->tx3:200
s3->rx1:1238496 s3->rx2:0 s1->tx1:1150286 s1->tx2:60 s1->tx3:60
s3->rx1:1765400 s3->rx2:70 s1->tx1:1749437 s1->tx2:333 s1->tx3:333
s3->rx1:939736 s3->rx2:0 s1->tx1:1045174 s1->tx2:872 s1->tx3:872
s3->rx1:1177386 s3->rx2:0 s1->tx1:1074308 s1->tx2:200 s1->tx3:260
s3->rx1:1140720 s3->rx2:0 s1->tx1:1208740 s1->tx2:120 s1->tx3:60
s3->rx1:893564 s3->rx2:0 s1->tx1:809638 s1->tx2:200 s1->tx3:130
s3->rx1:1218126 s3->rx2:0 s1->tx1:1254852 s1->tx2:60 s1->tx3:60
s3->rx1:942452 s3->rx2:0 s1->tx1:1025350 s1->tx2:60 s1->tx3:60
s3->rx1:2103542 s3->rx2:0 s1->tx1:2103602 s1->tx2:60 s1->tx3:60
s3->rx1:2046506 s3->rx2:0 s1->tx1:2046566 s1->tx2:60 s1->tx3:60
s3->rx1:854182 s3->rx2:0 s1->tx1:854242 s1->tx2:60 s1->tx3:60
s3->rx1:951958 s3->rx2:0 s1->tx1:952078 s1->tx2:120 s1->tx3:120
s3->rx1:1409604 s3->rx2:0 s1->tx1:1409664 s1->tx2:60 s1->tx3:60
s3->rx1:1512812 s3->rx2:0 s1->tx1:1491144 s1->tx2:60 s1->tx3:60
s3->rx1:1986754 s3->rx2:0 s1->tx1:1878174 s1->tx2:60 s1->tx3:60
s3->rx1:1560342 s3->rx2:0 s1->tx1:1573982 s1->tx2:60 s1->tx3:60
s3->rx1:1436764 s3->rx2:0 s1->tx1:1425960 s1->tx2:60 s1->tx3:60
s3->rx1:813442 s3->rx2:0 s1->tx1:844736 s1->tx2:60 s1->tx3:60
s3->rx1:708876 s3->rx2:0 s1->tx1:805354 s1->tx2:120 s1->tx3:120
s3->rx1:1230348 s3->rx2:0 s1->tx1:1230468 s1->tx2:60 s1->tx3:60
s3->rx1:1333556 s3->rx2:0 s1->tx1:1333616 s1->tx2:60 s1->tx3:60
s3->rx1:1606514 s3->rx2:0 s1->tx1:1606574 s1->tx2:60 s1->tx3:60
