s3->rx1:822 s3->rx2:646 s1->tx1:13784 s1->tx2:13588 s1->tx3:13790
s3->rx1:1904 s3->rx2:1904 s1->tx1:3971 s1->tx2:3971 s1->tx3:3972
s3->rx1:336 s3->rx2:0 s1->tx1:1276 s1->tx2:1346 s1->tx3:1415
s3->rx1:70 s3->rx2:70 s1->tx1:1506 s1->tx2:1436 s1->tx3:1164
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:813 s1->tx2:771 s1->tx3:914
s3->rx1:336 s3->rx2:336 s1->tx1:718 s1->tx2:760 s1->tx3:557
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:130 s1->tx2:130 s1->tx3:130
s3->rx1:0 s3->rx2:0 s1->tx1:200 s1->tx2:200 s1->tx3:270
s3->rx1:0 s3->rx2:0 s1->tx1:550 s1->tx2:480 s1->tx3:480
s3->rx1:70 s3->rx2:70 s1->tx1:330 s1->tx2:400 s1->tx3:330
s3->rx1:0 s3->rx2:0 s1->tx1:1075 s1->tx2:872 s1->tx3:1075
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:263 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:120 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:130 s1->tx2:130 s1->tx3:130
s3->rx1:0 s3->rx2:0 s1->tx1:200 s1->tx2:130 s1->tx3:200
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:190 s1->tx3:260
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:480 s1->tx2:410 s1->tx3:340
s3->rx1:0 s3->rx2:0 s1->tx1:1075 s1->tx2:1075 s1->tx3:1075
s3->rx1:70 s3->rx2:70 s1->tx1:340 s1->tx2:410 s1->tx3:340
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:293328 s3->rx2:0 s1->tx1:293388 s1->tx2:60 s1->tx3:60
s3->rx1:259378 s3->rx2:0 s1->tx1:259438 s1->tx2:60 s1->tx3:120
s3->rx1:27160 s3->rx2:0 s1->tx1:34070 s1->tx2:120 s1->tx3:60
s3->rx1:32592 s3->rx2:0 s1->tx1:25862 s1->tx2:60 s1->tx3:60
s3->rx1:293328 s3->rx2:0 s1->tx1:293388 s1->tx2:60 s1->tx3:60
s3->rx1:2800280 s3->rx2:0 s1->tx1:2760958 s1->tx2:60 s1->tx3:60
s3->rx1:2638594 s3->rx2:0 s1->tx1:2630506 s1->tx2:60 s1->tx3:60
s3->rx1:3043278 s3->rx2:0 s1->tx1:2868156 s1->tx2:60 s1->tx3:60
s3->rx1:2752666 s3->rx2:0 s1->tx1:2975438 s1->tx2:60 s1->tx3:120
s3->rx1:2910194 s3->rx2:0 s1->tx1:2531432 s1->tx2:120 s1->tx3:60
s3->rx1:1984038 s3->rx2:0 s1->tx1:2362980 s1->tx2:60 s1->tx3:60
s3->rx1:729246 s3->rx2:0 s1->tx1:729306 s1->tx2:60 s1->tx3:60
s3->rx1:775418 s3->rx2:0 s1->tx1:683134 s1->tx2:60 s1->tx3:60
s3->rx1:765912 s3->rx2:0 s1->tx1:723874 s1->tx2:60 s1->tx3:60
s3->rx1:510608 s3->rx2:0 s1->tx1:645110 s1->tx2:60 s1->tx3:60
s3->rx1:1781696 s3->rx2:0 s1->tx1:1781756 s1->tx2:60 s1->tx3:60
s3->rx1:1751820 s3->rx2:0 s1->tx1:1751880 s1->tx2:120 s1->tx3:120
s3->rx1:957390 s3->rx2:0 s1->tx1:957510 s1->tx2:60 s1->tx3:60
s3->rx1:1008994 s3->rx2:0 s1->tx1:1009054 s1->tx2:60 s1->tx3:60
s3->rx1:1497874 s3->rx2:0 s1->tx1:1497934 s1->tx2:60 s1->tx3:60
s3->rx1:1907990 s3->rx2:0 s1->tx1:1811632 s1->tx2:60 s1->tx3:60
s3->rx1:1769474 s3->rx2:0 s1->tx1:1849656 s1->tx2:60 s1->tx3:60
s3->rx1:1410962 s3->rx2:0 s1->tx1:1328324 s1->tx2:200 s1->tx3:200
s3->rx1:803936 s3->rx2:0 s1->tx1:828440 s1->tx2:120 s1->tx3:120
s3->rx1:1478862 s3->rx2:0 s1->tx1:1523866 s1->tx2:60 s1->tx3:130
s3->rx1:1082368 s3->rx2:0 s1->tx1:1047120 s1->tx2:60 s1->tx3:60
s3->rx1:1370222 s3->rx2:0 s1->tx1:1435466 s1->tx2:130 s1->tx3:200
s3->rx1:1238496 s3->rx2:0 s1->tx1:1238556 s1->tx2:60 s1->tx3:60
s3->rx1:1765400 s3->rx2:0 s1->tx1:1766545 s1->tx2:942 s1->tx3:1145
s3->rx1:939736 s3->rx2:0 s1->tx1:939796 s1->tx2:263 s1->tx3:60
s3->rx1:1177386 s3->rx2:0 s1->tx1:1177656 s1->tx2:200 s1->tx3:190
s3->rx1:1140720 s3->rx2:0 s1->tx1:1140840 s1->tx2:120 s1->tx3:60
s3->rx1:893606 s3->rx2:0 s1->tx1:893946 s1->tx2:410 s1->tx3:340
s3->rx1:1457134 s3->rx2:0 s1->tx1:1352628 s1->tx2:60 s1->tx3:60
s3->rx1:956102 s3->rx2:0 s1->tx1:998260 s1->tx2:130 s1->tx3:130
s3->rx1:2286872 s3->rx2:0 s1->tx1:2042492 s1->tx2:60 s1->tx3:60
s3->rx1:1723302 s3->rx2:70 s1->tx1:1986884 s1->tx2:130 s1->tx3:130
s3->rx1:741468 s3->rx2:0 s1->tx1:795848 s1->tx2:60 s1->tx3:120
s3->rx1:951958 s3->rx2:0 s1->tx1:941214 s1->tx2:120 s1->tx3:60
s3->rx1:1409604 s3->rx2:0 s1->tx1:1409664 s1->tx2:60 s1->tx3:60
s3->rx1:1512812 s3->rx2:0 s1->tx1:1512872 s1->tx2:60 s1->tx3:60
s3->rx1:1986754 s3->rx2:0 s1->tx1:1986814 s1->tx2:60 s1->tx3:60
s3->rx1:1560342 s3->rx2:0 s1->tx1:1560402 s1->tx2:60 s1->tx3:60
s3->rx1:1436764 s3->rx2:0 s1->tx1:1436824 s1->tx2:60 s1->tx3:60
s3->rx1:813442 s3->rx2:0 s1->tx1:813502 s1->tx2:60 s1->tx3:60
s3->rx1:870478 s3->rx2:0 s1->tx1:870598 s1->tx2:120 s1->tx3:120
s3->rx1:1364832 s3->rx2:0 s1->tx1:1227734 s1->tx2:60 s1->tx3:60
s3->rx1:1393308 s3->rx2:0 s1->tx1:1273864 s1->tx2:60 s1->tx3:60
s3->rx1:1368864 s3->rx2:0 s1->tx1:1544106 s1->tx2:60 s1->tx3:60
s3->rx1:1773548 s3->rx2:0 s1->tx1:1855088 s1->tx2:60 s1->tx3:60
s3->rx1:2392796 s3->rx2:0 s1->tx1:2392856 s1->tx2:60 s1->tx3:60
s3->rx1:1893052 s3->rx2:0 s1->tx1:1893112 s1->tx2:60 s1->tx3:60
s3->rx1:1417752 s3->rx2:0 s1->tx1:1417812 s1->tx2:120 s1->tx3:120
s3->rx1:1063314 s3->rx2:0 s1->tx1:1063434 s1->tx2:60 s1->tx3:60
s3->rx1:181972 s3->rx2:0 s1->tx1:182032 s1->tx2:60 s1->tx3:60
s3->rx1:687148 s3->rx2:0 s1->tx1:687208 s1->tx2:60 s1->tx3:60
s3->rx1:1047018 s3->rx2:0 s1->tx1:1047078 s1->tx2:60 s1->tx3:60
s3->rx1:862330 s3->rx2:0 s1->tx1:862390 s1->tx2:60 s1->tx3:60
s3->rx1:200984 s3->rx2:0 s1->tx1:201044 s1->tx2:60 s1->tx3:60
s3->rx1:157570 s3->rx2:0 s1->tx1:157630 s1->tx2:120 s1->tx3:120
s3->rx1:1294174 s3->rx2:0 s1->tx1:1321454 s1->tx2:60 s1->tx3:60
s3->rx1:1207262 s3->rx2:0 s1->tx1:1070164 s1->tx2:60 s1->tx3:60
s3->rx1:1434048 s3->rx2:0 s1->tx1:1544106 s1->tx2:60 s1->tx3:60
s3->rx1:1461208 s3->rx2:0 s1->tx1:1461268 s1->tx2:60 s1->tx3:60
s3->rx1:1620094 s3->rx2:0 s1->tx1:1620154 s1->tx2:60 s1->tx3:60
s3->rx1:1874040 s3->rx2:0 s1->tx1:1811632 s1->tx2:60 s1->tx3:60
s3->rx1:2441726 s3->rx2:0 s1->tx1:2462156 s1->tx2:60 s1->tx3:120
s3->rx1:1599724 s3->rx2:0 s1->tx1:1641942 s1->tx2:120 s1->tx3:60
s3->rx1:1834658 s3->rx2:0 s1->tx1:1603858 s1->tx2:60 s1->tx3:60
s3->rx1:2510942 s3->rx2:0 s1->tx1:2182366 s1->tx2:60 s1->tx3:60
s3->rx1:1091832 s3->rx2:0 s1->tx1:1559044 s1->tx2:60 s1->tx3:60
s3->rx1:1291458 s3->rx2:0 s1->tx1:1223618 s1->tx2:60 s1->tx3:60
s3->rx1:1082326 s3->rx2:0 s1->tx1:1140780 s1->tx2:60 s1->tx3:60
s3->rx1:871836 s3->rx2:0 s1->tx1:979178 s1->tx2:60 s1->tx3:120
s3->rx1:707518 s3->rx2:0 s1->tx1:702206 s1->tx2:120 s1->tx3:60
s3->rx1:479374 s3->rx2:0 s1->tx1:479434 s1->tx2:60 s1->tx3:60
s3->rx1:733320 s3->rx2:0 s1->tx1:733380 s1->tx2:60 s1->tx3:60
s3->rx1:962822 s3->rx2:0 s1->tx1:962882 s1->tx2:60 s1->tx3:60
s3->rx1:1091832 s3->rx2:0 s1->tx1:1091892 s1->tx2:60 s1->tx3:60
s3->rx1:3007970 s3->rx2:0 s1->tx1:2209526 s1->tx2:60 s1->tx3:60
s3->rx1:1641822 s3->rx2:0 s1->tx1:2394284 s1->tx2:130 s1->tx3:130
s3->rx1:1087758 s3->rx2:0 s1->tx1:1057942 s1->tx2:120 s1->tx3:120
s3->rx1:1177386 s3->rx2:0 s1->tx1:1157206 s1->tx2:60 s1->tx3:130
s3->rx1:1144794 s3->rx2:0 s1->tx1:1068806 s1->tx2:60 s1->tx3:60
s3->rx1:1465282 s3->rx2:0 s1->tx1:1617508 s1->tx2:130 s1->tx3:130
s3->rx1:109998 s3->rx2:0 s1->tx1:130428 s1->tx2:60 s1->tx3:60
s3->rx1:1188250 s3->rx2:0 s1->tx1:1188310 s1->tx2:60 s1->tx3:60
s3->rx1:1064714 s3->rx2:0 s1->tx1:1064774 s1->tx2:60 s1->tx3:60
s3->rx1:1059282 s3->rx2:0 s1->tx1:1059342 s1->tx2:120 s1->tx3:190
s3->rx1:1159732 s3->rx2:0 s1->tx1:1159852 s1->tx2:60 s1->tx3:60
s3->rx1:1165164 s3->rx2:0 s1->tx1:1165833 s1->tx2:739 s1->tx3:942
s3->rx1:1595650 s3->rx2:0 s1->tx1:1385626 s1->tx2:466 s1->tx3:263
s3->rx1:1544046 s3->rx2:0 s1->tx1:1718000 s1->tx2:130 s1->tx3:130
s3->rx1:1292816 s3->rx2:0 s1->tx1:1287444 s1->tx2:60 s1->tx3:60
s3->rx1:1355284 s3->rx2:0 s1->tx1:1134130 s1->tx2:130 s1->tx3:130
s3->rx1:1916138 s3->rx2:0 s1->tx1:1937926 s1->tx2:60 s1->tx3:120
s3->rx1:1633674 s3->rx2:0 s1->tx1:1886452 s1->tx2:190 s1->tx3:60
s3->rx1:2823282 s3->rx2:0 s1->tx1:2763590 s1->tx2:60 s1->tx3:60
s3->rx1:1503306 s3->rx2:0 s1->tx1:1552254 s1->tx2:60 s1->tx3:60
s3->rx1:1374296 s3->rx2:0 s1->tx1:1374356 s1->tx2:60 s1->tx3:60
s3->rx1:1291458 s3->rx2:0 s1->tx1:1291728 s1->tx2:270 s1->tx3:270
s3->rx1:824306 s3->rx2:0 s1->tx1:824366 s1->tx2:60 s1->tx3:60
s3->rx1:547274 s3->rx2:0 s1->tx1:547404 s1->tx2:200 s1->tx3:190
s3->rx1:1014426 s3->rx2:0 s1->tx1:976522 s1->tx2:120 s1->tx3:60
s3->rx1:1258866 s3->rx2:0 s1->tx1:1296950 s1->tx2:60 s1->tx3:60
s3->rx1:723814 s3->rx2:0 s1->tx1:600296 s1->tx2:60 s1->tx3:60
s3->rx1:813442 s3->rx2:0 s1->tx1:937080 s1->tx2:60 s1->tx3:60
s3->rx1:225470 s3->rx2:0 s1->tx1:153556 s1->tx2:60 s1->tx3:60
s3->rx1:1731520 s3->rx2:0 s1->tx1:1803554 s1->tx2:130 s1->tx3:130
s3->rx1:1791202 s3->rx2:0 s1->tx1:1791262 s1->tx2:60 s1->tx3:60
s3->rx1:2110332 s3->rx2:0 s1->tx1:2008602 s1->tx2:120 s1->tx3:120
s3->rx1:1080968 s3->rx2:0 s1->tx1:1182878 s1->tx2:60 s1->tx3:60
s3->rx1:1174670 s3->rx2:70 s1->tx1:1139492 s1->tx2:130 s1->tx3:130
s3->rx1:2126628 s3->rx2:0 s1->tx1:2161996 s1->tx2:60 s1->tx3:60
s3->rx1:874552 s3->rx2:0 s1->tx1:874612 s1->tx2:60 s1->tx3:60
s3->rx1:1550878 s3->rx2:0 s1->tx1:1322794 s1->tx2:60 s1->tx3:60
s3->rx1:2009840 s3->rx2:0 s1->tx1:2095454 s1->tx2:60 s1->tx3:60
s3->rx1:1343062 s3->rx2:0 s1->tx1:1313246 s1->tx2:120 s1->tx3:120
