s3->rx1:176 s3->rx2:90 s1->tx1:546 s1->tx2:490 s1->tx3:576
s3->rx1:2196 s3->rx2:3401056 s1->tx1:5395 s1->tx2:1051755 s1->tx3:1054982
s3->rx1:90 s3->rx2:5246890 s1->tx1:6526 s1->tx2:1991294 s1->tx3:1204253
s3->rx1:42 s3->rx2:5258736 s1->tx1:2321 s1->tx2:2505169 s1->tx3:687034
s3->rx1:0 s3->rx2:5243616 s1->tx1:812 s1->tx2:2488052 s1->tx3:702380
s3->rx1:70 s3->rx2:5246640 s1->tx1:1015 s1->tx2:2498839 s1->tx3:693511
s3->rx1:336 s3->rx2:5247046 s1->tx1:1764 s1->tx2:2496564 s1->tx3:689521
s3->rx1:294 s3->rx2:5240886 s1->tx1:112 s1->tx2:2497936 s1->tx3:683494
s3->rx1:252 s3->rx2:5246892 s1->tx1:203 s1->tx2:2475347 s1->tx3:720118
s3->rx1:0 s3->rx2:4133850 s1->tx1:651 s1->tx2:2666307 s1->tx3:525112
s3->rx1:0 s3->rx2:5254200 s1->tx1:0 s1->tx2:2401056 s1->tx3:795312
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:2503872 s1->tx3:689472
s3->rx1:0 s3->rx2:5258736 s1->tx1:0 s1->tx2:2488752 s1->tx3:706104
s3->rx1:70 s3->rx2:5252758 s1->tx1:140 s1->tx2:2503942 s1->tx3:686518
s3->rx1:0 s3->rx2:5243616 s1->tx1:350 s1->tx2:2496662 s1->tx3:688310
s3->rx1:0 s3->rx2:5246640 s1->tx1:210 s1->tx2:2476936 s1->tx3:713944
s3->rx1:0 s3->rx2:5252688 s1->tx1:609 s1->tx2:2533006 s1->tx3:661353
s3->rx1:0 s3->rx2:5255712 s1->tx1:203 s1->tx2:2477062 s1->tx3:715379
s3->rx1:0 s3->rx2:5240592 s1->tx1:0 s1->tx2:2491776 s1->tx3:684936
s3->rx1:0 s3->rx2:5234544 s1->tx1:0 s1->tx2:2502360 s1->tx3:686448
s3->rx1:0 s3->rx2:5252688 s1->tx1:0 s1->tx2:2508408 s1->tx3:681912
s3->rx1:0 s3->rx2:5257224 s1->tx1:0 s1->tx2:2518992 s1->tx3:674352
s3->rx1:0 s3->rx2:5251176 s1->tx1:0 s1->tx2:2488752 s1->tx3:704592
s3->rx1:0 s3->rx2:5252688 s1->tx1:0 s1->tx2:2496312 s1->tx3:690984
s3->rx1:0 s3->rx2:5246640 s1->tx1:0 s1->tx2:2487240 s1->tx3:704592
s3->rx1:0 s3->rx2:5246640 s1->tx1:0 s1->tx2:2499336 s1->tx3:694008
s3->rx1:0 s3->rx2:5255712 s1->tx1:0 s1->tx2:2532600 s1->tx3:657720
s3->rx1:70 s3->rx2:5249664 s1->tx1:0 s1->tx2:2511432 s1->tx3:675864
s3->rx1:0 s3->rx2:5237568 s1->tx1:140 s1->tx2:2508548 s1->tx3:662396
s3->rx1:0 s3->rx2:5222448 s1->tx1:210 s1->tx2:2499476 s1->tx3:686588
s3->rx1:74 s3->rx2:5260248 s1->tx1:70 s1->tx2:2494870 s1->tx3:706174
s3->rx1:141 s3->rx2:5255782 s1->tx1:289 s1->tx2:2485868 s1->tx3:707826
s3->rx1:287896 s3->rx2:5266296 s1->tx1:6244 s1->tx2:2489564 s1->tx3:699356
