s3->rx1:90 s3->rx2:90 s1->tx1:460 s1->tx2:314 s1->tx3:404
s3->rx1:2122 s3->rx2:1657720 s1->tx1:5082 s1->tx2:1682036 s1->tx3:5138
s3->rx1:250 s3->rx2:2629618 s1->tx1:6886 s1->tx2:2633738 s1->tx3:6561
s3->rx1:42 s3->rx2:2621808 s1->tx1:3309 s1->tx2:2624812 s1->tx3:3634
s3->rx1:0 s3->rx2:2624832 s1->tx1:1015 s1->tx2:2627156 s1->tx3:1015
s3->rx1:42 s3->rx2:2618784 s1->tx1:1519 s1->tx2:2615788 s1->tx3:1267
s3->rx1:364 s3->rx2:2613142 s1->tx1:1554 s1->tx2:2611245 s1->tx3:1806
s3->rx1:0 s3->rx2:2612736 s1->tx1:0 s1->tx2:2620296 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:203 s1->tx2:2625035 s1->tx3:203
s3->rx1:0 s3->rx2:2627856 s1->tx1:812 s1->tx2:2630180 s1->tx3:812
s3->rx1:0 s3->rx2:2630880 s1->tx1:0 s1->tx2:2629368 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2630880 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:210 s1->tx2:2622088 s1->tx3:210
s3->rx1:0 s3->rx2:2623390 s1->tx1:350 s1->tx2:2626694 s1->tx3:420
s3->rx1:0 s3->rx2:2624832 s1->tx1:280 s1->tx2:2622088 s1->tx3:280
s3->rx1:70 s3->rx2:2627856 s1->tx1:273 s1->tx2:2629774 s1->tx3:203
s3->rx1:0 s3->rx2:2620296 s1->tx1:812 s1->tx2:2617881 s1->tx3:812
s3->rx1:0 s3->rx2:2618784 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2630880 s1->tx1:0 s1->tx2:2630880 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2627856 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2621808 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2621808 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2621808 s1->tx1:0 s1->tx2:2620366 s1->tx3:0
s3->rx1:0 s3->rx2:2617272 s1->tx1:70 s1->tx2:2608270 s1->tx3:70
s3->rx1:0 s3->rx2:2611224 s1->tx1:280 s1->tx2:2620506 s1->tx3:280
s3->rx1:215 s3->rx2:2614248 s1->tx1:215 s1->tx2:2605176 s1->tx3:0
s3->rx1:266168 s3->rx2:2609782 s1->tx1:122360 s1->tx2:2514666 s1->tx3:210
s3->rx1:32592 s3->rx2:2629368 s1->tx1:177149 s1->tx2:2734305 s1->tx3:406
s3->rx1:259378 s3->rx2:2624832 s1->tx1:260134 s1->tx2:2624006 s1->tx3:889
s3->rx1:28518 s3->rx2:2623320 s1->tx1:28518 s1->tx2:2623320 s1->tx3:0
s3->rx1:34062 s3->rx2:2621808 s1->tx1:34062 s1->tx2:2623390 s1->tx3:70
s3->rx1:1507380 s3->rx2:2621808 s1->tx1:953316 s1->tx2:1989792 s1->tx3:0
s3->rx1:2688840 s3->rx2:2621808 s1->tx1:1135288 s1->tx2:2050272 s1->tx3:0
s3->rx1:2755382 s3->rx2:2620338 s1->tx1:635544 s1->tx2:2541672 s1->tx3:0
s3->rx1:3100314 s3->rx2:2612736 s1->tx1:640976 s1->tx2:2543226 s1->tx3:0
s3->rx1:2436252 s3->rx2:2627856 s1->tx1:638260 s1->tx2:2552256 s1->tx3:0
s3->rx1:3259200 s3->rx2:2621808 s1->tx1:577150 s1->tx2:2599128 s1->tx3:0
s3->rx1:975044 s3->rx2:2624832 s1->tx1:543200 s1->tx2:2646000 s1->tx3:0
s3->rx1:526904 s3->rx2:2623320 s1->tx1:583940 s1->tx2:2618784 s1->tx3:0
s3->rx1:801220 s3->rx2:2626344 s1->tx1:598878 s1->tx2:2593080 s1->tx3:0
s3->rx1:769986 s3->rx2:2621808 s1->tx1:588014 s1->tx2:2596104 s1->tx3:0
s3->rx1:976402 s3->rx2:2617272 s1->tx1:564928 s1->tx2:2608200 s1->tx3:0
s3->rx1:1950088 s3->rx2:2606688 s1->tx1:632828 s1->tx2:2532600 s1->tx3:0
s3->rx1:1431332 s3->rx2:2612736 s1->tx1:612458 s1->tx2:2570400 s1->tx3:0
s3->rx1:810726 s3->rx2:2621808 s1->tx1:533694 s1->tx2:2646000 s1->tx3:0
s3->rx1:1197756 s3->rx2:2624832 s1->tx1:577150 s1->tx2:2612736 s1->tx3:0
s3->rx1:1648612 s3->rx2:2629368 s1->tx1:539126 s1->tx2:2664144 s1->tx3:0
s3->rx1:1651328 s3->rx2:2624832 s1->tx1:617890 s1->tx2:2574936 s1->tx3:0
s3->rx1:1648612 s3->rx2:2626344 s1->tx1:619248 s1->tx2:2571912 s1->tx3:0
s3->rx1:1208620 s3->rx2:2627856 s1->tx1:604310 s1->tx2:2590056 s1->tx3:0
