s3->rx1:90 s3->rx2:90 s1->tx1:456 s1->tx2:314 s1->tx3:400
s3->rx1:2122 s3->rx2:1769608 s1->tx1:6204 s1->tx2:1791350 s1->tx3:6570
s3->rx1:250 s3->rx2:2624992 s1->tx1:6021 s1->tx2:2635346 s1->tx3:5891
s3->rx1:42 s3->rx2:2630970 s1->tx1:3611 s1->tx2:2631975 s1->tx3:3521
s3->rx1:0 s3->rx2:2623320 s1->tx1:1015 s1->tx2:2624335 s1->tx3:1015
s3->rx1:112 s3->rx2:2617314 s1->tx1:1561 s1->tx2:2611035 s1->tx3:1309
s3->rx1:294 s3->rx2:2604028 s1->tx1:1309 s1->tx2:2606926 s1->tx3:1561
s3->rx1:0 s3->rx2:2614248 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:406 s1->tx2:2625035 s1->tx3:406
s3->rx1:0 s3->rx2:2627856 s1->tx1:609 s1->tx2:2625644 s1->tx3:609
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2626344 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2624832 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:70 s3->rx2:2621808 s1->tx1:490 s1->tx2:2626764 s1->tx3:350
s3->rx1:0 s3->rx2:2627926 s1->tx1:280 s1->tx2:2625182 s1->tx3:420
s3->rx1:0 s3->rx2:2624832 s1->tx1:140 s1->tx2:2624972 s1->tx3:140
s3->rx1:0 s3->rx2:2623320 s1->tx1:406 s1->tx2:2623523 s1->tx3:406
s3->rx1:0 s3->rx2:2614248 s1->tx1:609 s1->tx2:2607500 s1->tx3:609
s3->rx1:0 s3->rx2:2612736 s1->tx1:0 s1->tx2:2620296 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2624832 s1->tx3:0
s3->rx1:0 s3->rx2:2618784 s1->tx1:0 s1->tx2:2608200 s1->tx3:0
s3->rx1:0 s3->rx2:2612736 s1->tx1:0 s1->tx2:2621808 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2620296 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:0 s1->tx2:2627856 s1->tx3:0
s3->rx1:0 s3->rx2:2626344 s1->tx1:0 s1->tx2:2623320 s1->tx3:0
s3->rx1:0 s3->rx2:2623320 s1->tx1:140 s1->tx2:2620436 s1->tx3:140
s3->rx1:70 s3->rx2:2614248 s1->tx1:350 s1->tx2:2613016 s1->tx3:210
s3->rx1:0 s3->rx2:2618854 s1->tx1:140 s1->tx2:2621948 s1->tx3:140
s3->rx1:215 s3->rx2:2623320 s1->tx1:355 s1->tx2:2624972 s1->tx3:140
s3->rx1:266168 s3->rx2:2623320 s1->tx1:158886 s1->tx2:2485728 s1->tx3:0
s3->rx1:32592 s3->rx2:2614248 s1->tx1:140420 s1->tx2:2741872 s1->tx3:686
s3->rx1:259378 s3->rx2:2611224 s1->tx1:259987 s1->tx2:2622417 s1->tx3:609
s3->rx1:28518 s3->rx2:2618784 s1->tx1:28518 s1->tx2:2620296 s1->tx3:0
s3->rx1:33992 s3->rx2:2626344 s1->tx1:33992 s1->tx2:2624832 s1->tx3:0
s3->rx1:1507380 s3->rx2:2621808 s1->tx1:953316 s1->tx2:1992816 s1->tx3:0
s3->rx1:2688840 s3->rx2:2620338 s1->tx1:1135288 s1->tx2:2041200 s1->tx3:0
s3->rx1:2755382 s3->rx2:2618784 s1->tx1:645050 s1->tx2:2537178 s1->tx3:0
s3->rx1:3100314 s3->rx2:2618784 s1->tx1:635544 s1->tx2:2552256 s1->tx3:0
s3->rx1:2436252 s3->rx2:2621808 s1->tx1:642334 s1->tx2:2546208 s1->tx3:0
s3->rx1:3259200 s3->rx2:2626344 s1->tx1:586656 s1->tx2:2594592 s1->tx3:0
s3->rx1:975044 s3->rx2:2627856 s1->tx1:564928 s1->tx2:2626344 s1->tx3:0
s3->rx1:526904 s3->rx2:2626344 s1->tx1:573076 s1->tx2:2629368 s1->tx3:0
s3->rx1:801220 s3->rx2:2623320 s1->tx1:594804 s1->tx2:2591568 s1->tx3:0
s3->rx1:769986 s3->rx2:2623320 s1->tx1:588014 s1->tx2:2603664 s1->tx3:0
s3->rx1:976402 s3->rx2:2620296 s1->tx1:566286 s1->tx2:2614248 s1->tx3:0
s3->rx1:1950088 s3->rx2:2620296 s1->tx1:632828 s1->tx2:2549232 s1->tx3:0
s3->rx1:1431332 s3->rx2:2617272 s1->tx1:613816 s1->tx2:2571912 s1->tx3:0
s3->rx1:810726 s3->rx2:2623320 s1->tx1:575792 s1->tx2:2603664 s1->tx3:0
s3->rx1:1197756 s3->rx2:2626344 s1->tx1:575792 s1->tx2:2614248 s1->tx3:0
s3->rx1:1664908 s3->rx2:2627856 s1->tx1:533694 s1->tx2:2656584 s1->tx3:0
s3->rx1:1635032 s3->rx2:2624832 s1->tx1:593446 s1->tx2:2611224 s1->tx3:0
s3->rx1:1648612 s3->rx2:2621808 s1->tx1:615174 s1->tx2:2568888 s1->tx3:0
s3->rx1:1208620 s3->rx2:2620296 s1->tx1:607096 s1->tx2:2575006 s1->tx3:70
s3->rx1:976402 s3->rx2:2612736 s1->tx1:582652 s1->tx2:2587102 s1->tx3:70
s3->rx1:1425900 s3->rx2:2614248 s1->tx1:615244 s1->tx2:2568958 s1->tx3:70
s3->rx1:1443554 s3->rx2:2621808 s1->tx1:598878 s1->tx2:2593080 s1->tx3:0
s3->rx1:1105482 s3->rx2:2627856 s1->tx1:607166 s1->tx2:2584148 s1->tx3:70
s3->rx1:1679846 s3->rx2:2624832 s1->tx1:514752 s1->tx2:2662702 s1->tx3:70
s3->rx1:1609272 s3->rx2:2624832 s1->tx1:580006 s1->tx2:2623390 s1->tx3:70
s3->rx1:465836 s3->rx2:2626344 s1->tx1:582624 s1->tx2:2608200 s1->tx3:0
s3->rx1:1313186 s3->rx2:2626414 s1->tx1:589484 s1->tx2:2599198 s1->tx3:70
s3->rx1:1155658 s3->rx2:2626344 s1->tx1:604786 s1->tx2:2593353 s1->tx3:476
s3->rx1:837886 s3->rx2:2621808 s1->tx1:591479 s1->tx2:2581936 s1->tx3:749
s3->rx1:1550836 s3->rx2:2611224 s1->tx1:600236 s1->tx2:2579472 s1->tx3:0
s3->rx1:1201830 s3->rx2:2623320 s1->tx1:547274 s1->tx2:2646140 s1->tx3:70
s3->rx1:2145640 s3->rx2:2623320 s1->tx1:698012 s1->tx2:2484216 s1->tx3:0
