s3->rx1:90 s3->rx2:90 s1->tx1:546 s1->tx2:576 s1->tx3:400
s3->rx1:2122 s3->rx2:2080 s1->tx1:5082 s1->tx2:5505 s1->tx3:5064
s3->rx1:250 s3->rx2:160 s1->tx1:6253 s1->tx2:6746 s1->tx3:6828
s3->rx1:42 s3->rx2:90 s1->tx1:3852 s1->tx2:3109 s1->tx3:3527
s3->rx1:0 s3->rx2:0 s1->tx1:1015 s1->tx2:1015 s1->tx3:1015
s3->rx1:70 s3->rx2:0 s1->tx1:1225 s1->tx2:1225 s1->tx3:1225
s3->rx1:336 s3->rx2:406 s1->tx1:1848 s1->tx2:1645 s1->tx3:1848
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:203 s1->tx2:406 s1->tx3:203
s3->rx1:0 s3->rx2:0 s1->tx1:812 s1->tx2:609 s1->tx3:812
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:70 s3->rx2:0 s1->tx1:70 s1->tx2:70 s1->tx3:70
s3->rx1:0 s3->rx2:0 s1->tx1:280 s1->tx2:350 s1->tx3:350
s3->rx1:0 s3->rx2:70 s1->tx1:420 s1->tx2:420 s1->tx3:350
s3->rx1:0 s3->rx2:0 s1->tx1:140 s1->tx2:70 s1->tx3:140
s3->rx1:0 s3->rx2:0 s1->tx1:203 s1->tx2:406 s1->tx3:203
s3->rx1:0 s3->rx2:0 s1->tx1:812 s1->tx2:609 s1->tx3:812
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:70 s3->rx2:0 s1->tx1:70 s1->tx2:70 s1->tx3:70
s3->rx1:0 s3->rx2:0 s1->tx1:70 s1->tx2:70 s1->tx3:70
s3->rx1:0 s3->rx2:0 s1->tx1:140 s1->tx2:210 s1->tx3:210
