s3->rx1:266 s3->rx2:266 s1->tx1:370 s1->tx2:314 s1->tx3:400
s3->rx1:2106 s3->rx2:2154 s1->tx1:4992 s1->tx2:5048 s1->tx3:5482
s3->rx1:90 s3->rx2:0 s1->tx1:7832 s1->tx2:7629 s1->tx3:7512
s3->rx1:42 s3->rx2:0 s1->tx1:2972 s1->tx2:2972 s1->tx3:2772
s3->rx1:0 s3->rx2:0 s1->tx1:203 s1->tx2:406 s1->tx3:406
s3->rx1:70 s3->rx2:0 s1->tx1:2233 s1->tx2:1876 s1->tx3:2016
s3->rx1:336 s3->rx2:406 s1->tx1:1043 s1->tx2:1400 s1->tx3:1057
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:203 s1->tx2:203 s1->tx3:406
s3->rx1:0 s3->rx2:0 s1->tx1:812 s1->tx2:812 s1->tx3:609
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:70 s3->rx2:0 s1->tx1:210 s1->tx2:140 s1->tx3:210
s3->rx1:0 s3->rx2:0 s1->tx1:350 s1->tx2:490 s1->tx3:420
s3->rx1:0 s3->rx2:70 s1->tx1:350 s1->tx2:280 s1->tx3:280
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:609 s1->tx2:609 s1->tx3:812
s3->rx1:0 s3->rx2:0 s1->tx1:406 s1->tx2:406 s1->tx3:203
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:70 s3->rx2:0 s1->tx1:280 s1->tx2:210 s1->tx3:280
s3->rx1:0 s3->rx2:0 s1->tx1:210 s1->tx2:280 s1->tx3:140
s3->rx1:0 s3->rx2:0 s1->tx1:210 s1->tx2:210 s1->tx3:210
s3->rx1:215 s3->rx2:0 s1->tx1:285 s1->tx2:140 s1->tx3:210
s3->rx1:266168 s3->rx2:0 s1->tx1:183330 s1->tx2:0 s1->tx3:0
s3->rx1:32592 s3->rx2:70 s1->tx1:116382 s1->tx2:882 s1->tx3:882
s3->rx1:259378 s3->rx2:0 s1->tx1:259581 s1->tx2:203 s1->tx3:203
s3->rx1:28518 s3->rx2:0 s1->tx1:33950 s1->tx2:0 s1->tx3:0
s3->rx1:33992 s3->rx2:0 s1->tx1:28560 s1->tx2:0 s1->tx3:0
s3->rx1:1507380 s3->rx2:0 s1->tx1:1454418 s1->tx2:0 s1->tx3:0
s3->rx1:2687482 s3->rx2:0 s1->tx1:2607360 s1->tx2:0 s1->tx3:0
s3->rx1:2755382 s3->rx2:0 s1->tx1:2660322 s1->tx2:0 s1->tx3:0
s3->rx1:3100314 s3->rx2:0 s1->tx1:3035130 s1->tx2:0 s1->tx3:0
s3->rx1:2437610 s3->rx2:0 s1->tx1:2406376 s1->tx2:0 s1->tx3:0
s3->rx1:3259200 s3->rx2:0 s1->tx1:3090808 s1->tx2:0 s1->tx3:0
s3->rx1:975044 s3->rx2:0 s1->tx1:1440838 s1->tx2:0 s1->tx3:0
s3->rx1:649124 s3->rx2:0 s1->tx1:600236 s1->tx2:0 s1->tx3:0
s3->rx1:677642 s3->rx2:0 s1->tx1:753690 s1->tx2:0 s1->tx3:0
s3->rx1:771344 s3->rx2:0 s1->tx1:771344 s1->tx2:0 s1->tx3:0
s3->rx1:976402 s3->rx2:0 s1->tx1:976402 s1->tx2:0 s1->tx3:0
s3->rx1:1950088 s3->rx2:0 s1->tx1:1924286 s1->tx2:0 s1->tx3:0
s3->rx1:1431332 s3->rx2:0 s1->tx1:1457134 s1->tx2:0 s1->tx3:0
s3->rx1:810726 s3->rx2:0 s1->tx1:810726 s1->tx2:0 s1->tx3:0
s3->rx1:1197756 s3->rx2:0 s1->tx1:1167880 s1->tx2:0 s1->tx3:0
s3->rx1:1664908 s3->rx2:0 s1->tx1:1533182 s1->tx2:0 s1->tx3:0
s3->rx1:2030210 s3->rx2:0 s1->tx1:1859102 s1->tx2:0 s1->tx3:0
s3->rx1:1253434 s3->rx2:0 s1->tx1:1586144 s1->tx2:0 s1->tx3:0
s3->rx1:1208620 s3->rx2:0 s1->tx1:1208760 s1->tx2:70 s1->tx3:140
s3->rx1:976402 s3->rx2:0 s1->tx1:976402 s1->tx2:0 s1->tx3:0
s3->rx1:1425900 s3->rx2:0 s1->tx1:1425970 s1->tx2:70 s1->tx3:70
s3->rx1:1443554 s3->rx2:0 s1->tx1:1400098 s1->tx2:0 s1->tx3:0
s3->rx1:1105482 s3->rx2:0 s1->tx1:1149218 s1->tx2:420 s1->tx3:280
s3->rx1:1679846 s3->rx2:0 s1->tx1:1404172 s1->tx2:0 s1->tx3:0
s3->rx1:1609230 s3->rx2:0 s1->tx1:1857814 s1->tx2:70 s1->tx3:70
s3->rx1:598878 s3->rx2:0 s1->tx1:602952 s1->tx2:0 s1->tx3:0
s3->rx1:1235780 s3->rx2:0 s1->tx1:1230418 s1->tx2:70 s1->tx3:70
s3->rx1:1099980 s3->rx2:0 s1->tx1:1128904 s1->tx2:406 s1->tx3:609
s3->rx1:837886 s3->rx2:0 s1->tx1:838565 s1->tx2:749 s1->tx3:616
s3->rx1:1550878 s3->rx2:0 s1->tx1:1550878 s1->tx2:0 s1->tx3:0
