s3->rx1:736 s3->rx2:822 s1->tx1:13714 s1->tx2:13666 s1->tx3:13868
s3->rx1:1904 s3->rx2:215096 s1->tx1:4011 s1->tx2:134001 s1->tx3:143074
s3->rx1:336 s3->rx2:5272344 s1->tx1:893 s1->tx2:868711 s1->tx3:859638
s3->rx1:0 s3->rx2:5266366 s1->tx1:1561 s1->tx2:322175 s1->tx3:320461
s3->rx1:70 s3->rx2:5269320 s1->tx1:946 s1->tx2:319978 s1->tx3:320038
s3->rx1:0 s3->rx2:5258736 s1->tx1:1342 s1->tx2:359483 s1->tx3:282514
s3->rx1:336 s3->rx2:5266632 s1->tx1:718 s1->tx2:365313 s1->tx3:275902
s3->rx1:294 s3->rx2:5265078 s1->tx1:876 s1->tx2:354684 s1->tx3:283620
s3->rx1:294 s3->rx2:5260542 s1->tx1:263 s1->tx2:352559 s1->tx3:287543
s3->rx1:0 s3->rx2:2419284 s1->tx1:130 s1->tx2:350914 s1->tx3:290434
s3->rx1:0 s3->rx2:84 s1->tx1:200 s1->tx2:352566 s1->tx3:285968
s3->rx1:0 s3->rx2:645778 s1->tx1:242 s1->tx2:282986 s1->tx3:360158
s3->rx1:70 s3->rx2:5211864 s1->tx1:820 s1->tx2:616134 s1->tx3:21928
s3->rx1:0 s3->rx2:5266296 s1->tx1:739 s1->tx2:363416 s1->tx3:278947
s3->rx1:0 s3->rx2:5272344 s1->tx1:263 s1->tx2:327058 s1->tx3:311735
s3->rx1:0 s3->rx2:5261760 s1->tx1:60 s1->tx2:353868 s1->tx3:285828
s3->rx1:0 s3->rx2:5255712 s1->tx1:60 s1->tx2:358404 s1->tx3:284316
s3->rx1:0 s3->rx2:5269320 s1->tx1:60 s1->tx2:343284 s1->tx3:293388
s3->rx1:0 s3->rx2:5258736 s1->tx1:60 s1->tx2:355380 s1->tx3:282804
s3->rx1:0 s3->rx2:5263272 s1->tx1:60 s1->tx2:356952 s1->tx3:285888
s3->rx1:0 s3->rx2:5264784 s1->tx1:120 s1->tx2:353868 s1->tx3:293388
s3->rx1:0 s3->rx2:5313168 s1->tx1:60 s1->tx2:355380 s1->tx3:281292
s3->rx1:0 s3->rx2:5296536 s1->tx1:60 s1->tx2:350844 s1->tx3:296412
s3->rx1:0 s3->rx2:5279904 s1->tx1:130 s1->tx2:346378 s1->tx3:290434
s3->rx1:0 s3->rx2:5270832 s1->tx1:200 s1->tx2:353938 s1->tx3:288922
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:352496 s1->tx3:288922
s3->rx1:0 s3->rx2:5270832 s1->tx1:130 s1->tx2:353998 s1->tx3:285888
s3->rx1:70 s3->rx2:5285952 s1->tx1:120 s1->tx2:358404 s1->tx3:284316
s3->rx1:0 s3->rx2:5264784 s1->tx1:60 s1->tx2:343284 s1->tx3:294900
s3->rx1:0 s3->rx2:5264854 s1->tx1:949 s1->tx2:354757 s1->tx3:289741
s3->rx1:0 s3->rx2:5261760 s1->tx1:263 s1->tx2:373727 s1->tx3:224039
s3->rx1:0 s3->rx2:5260248 s1->tx1:200 s1->tx2:316138 s1->tx3:332910
s3->rx1:42 s3->rx2:5314680 s1->tx1:60 s1->tx2:353868 s1->tx3:287340
s3->rx1:42 s3->rx2:5284440 s1->tx1:60 s1->tx2:373524 s1->tx3:267684
s3->rx1:42 s3->rx2:5266296 s1->tx1:60 s1->tx2:361428 s1->tx3:276756
s3->rx1:42 s3->rx2:5264784 s1->tx1:60 s1->tx2:362940 s1->tx3:279840
s3->rx1:124978 s3->rx2:5276880 s1->tx1:125098 s1->tx2:367578 s1->tx3:270750
s3->rx1:2800196 s3->rx2:5264784 s1->tx1:2667172 s1->tx2:358404 s1->tx3:282804
s3->rx1:2637236 s3->rx2:5264784 s1->tx1:2619684 s1->tx2:356934 s1->tx3:282846
s3->rx1:3043278 s3->rx2:5263272 s1->tx1:2864082 s1->tx2:338748 s1->tx3:299436
s3->rx1:2752666 s3->rx2:5267892 s1->tx1:3074572 s1->tx2:355380 s1->tx3:287340
s3->rx1:2910236 s3->rx2:5266380 s1->tx1:2429522 s1->tx2:347820 s1->tx3:290364
s3->rx1:1984080 s3->rx2:5272428 s1->tx1:2472978 s1->tx2:352356 s1->tx3:290364
s3->rx1:729288 s3->rx2:279804 s1->tx1:664122 s1->tx2:346368 s1->tx3:293448
s3->rx1:560854 s3->rx2:84 s1->tx1:642454 s1->tx2:358404 s1->tx3:281292
s3->rx1:784924 s3->rx2:2246916 s1->tx1:768982 s1->tx2:334464 s1->tx3:284568
s3->rx1:706160 s3->rx2:5269320 s1->tx1:706220 s1->tx2:303972 s1->tx3:334212
s3->rx1:1781696 s3->rx2:5269320 s1->tx1:1781756 s1->tx2:319092 s1->tx3:320604
s3->rx1:1751820 s3->rx2:5266296 s1->tx1:1751880 s1->tx2:355380 s1->tx3:282804
s3->rx1:957390 s3->rx2:5261760 s1->tx1:957450 s1->tx2:361428 s1->tx3:282804
s3->rx1:1008994 s3->rx2:5272344 s1->tx1:1009054 s1->tx2:355380 s1->tx3:282804
s3->rx1:1499232 s3->rx2:5269320 s1->tx1:1454538 s1->tx2:358464 s1->tx3:282864
s3->rx1:1907990 s3->rx2:5266296 s1->tx1:1747806 s1->tx2:350844 s1->tx3:290364
s3->rx1:1769474 s3->rx2:5269320 s1->tx1:1844364 s1->tx2:350914 s1->tx3:287410
s3->rx1:1410962 s3->rx2:5266296 s1->tx1:1333616 s1->tx2:346308 s1->tx3:297924
s3->rx1:803936 s3->rx2:5276880 s1->tx1:821650 s1->tx2:356962 s1->tx3:279780
s3->rx1:1352568 s3->rx2:5276880 s1->tx1:1542748 s1->tx2:359916 s1->tx3:284316
s3->rx1:1108128 s3->rx2:5281416 s1->tx1:1108328 s1->tx2:357102 s1->tx3:281432
s3->rx1:1470714 s3->rx2:5266296 s1->tx1:1470774 s1->tx2:355440 s1->tx3:287400
s3->rx1:1238566 s3->rx2:5266296 s1->tx1:1238616 s1->tx2:346308 s1->tx3:293388
s3->rx1:1765400 s3->rx2:5263272 s1->tx1:1752489 s1->tx2:337642 s1->tx3:274341
s3->rx1:939736 s3->rx2:5258806 s1->tx1:953719 s1->tx2:343830 s1->tx3:298267
s3->rx1:1177386 s3->rx2:5261760 s1->tx1:1162508 s1->tx2:346308 s1->tx3:291876
s3->rx1:1140720 s3->rx2:5263272 s1->tx1:1155788 s1->tx2:375106 s1->tx3:263218
s3->rx1:893564 s3->rx2:5260248 s1->tx1:856958 s1->tx2:370500 s1->tx3:270708
s3->rx1:1457134 s3->rx2:5263272 s1->tx1:1253634 s1->tx2:350984 s1->tx3:289052
s3->rx1:956032 s3->rx2:5264784 s1->tx1:996892 s1->tx2:344856 s1->tx3:293388
