s3->rx1:646 s3->rx2:646 s1->tx1:13422 s1->tx2:13756 s1->tx3:13666
s3->rx1:1904 s3->rx2:463064 s1->tx1:4010 s1->tx2:256270 s1->tx3:265545
s3->rx1:336 s3->rx2:5260248 s1->tx1:1341 s1->tx2:740709 s1->tx3:730124
s3->rx1:70 s3->rx2:5266366 s1->tx1:1498 s1->tx2:320530 s1->tx3:320328
s3->rx1:0 s3->rx2:5264784 s1->tx1:1016 s1->tx2:329120 s1->tx3:312548
s3->rx1:0 s3->rx2:5264784 s1->tx1:1020 s1->tx2:537738 s1->tx3:102425
s3->rx1:336 s3->rx2:5283264 s1->tx1:1040 s1->tx2:571106 s1->tx3:70431
s3->rx1:294 s3->rx2:5271126 s1->tx1:876 s1->tx2:566364 s1->tx3:74964
s3->rx1:294 s3->rx2:5262054 s1->tx1:263 s1->tx2:565751 s1->tx3:74351
s3->rx1:0 s3->rx2:2401140 s1->tx1:60 s1->tx2:551940 s1->tx3:89268
s3->rx1:0 s3->rx2:84 s1->tx1:522 s1->tx2:556966 s1->tx3:82058
s3->rx1:70 s3->rx2:676018 s1->tx1:732 s1->tx2:560102 s1->tx3:74950
s3->rx1:0 s3->rx2:5261760 s1->tx1:120 s1->tx2:293448 s1->tx3:347820
s3->rx1:0 s3->rx2:5264784 s1->tx1:263 s1->tx2:319498 s1->tx3:321010
s3->rx1:0 s3->rx2:5261760 s1->tx1:669 s1->tx2:428362 s1->tx3:210634
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:551940 s1->tx3:89268
s3->rx1:0 s3->rx2:5261760 s1->tx1:60 s1->tx2:561012 s1->tx3:78684
s3->rx1:0 s3->rx2:5261760 s1->tx1:60 s1->tx2:554964 s1->tx3:81708
s3->rx1:0 s3->rx2:5264784 s1->tx1:60 s1->tx2:544380 s1->tx3:96828
s3->rx1:0 s3->rx2:5258736 s1->tx1:60 s1->tx2:548976 s1->tx3:90840
s3->rx1:0 s3->rx2:5264784 s1->tx1:120 s1->tx2:527748 s1->tx3:110436
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:541356 s1->tx3:99852
s3->rx1:0 s3->rx2:5258736 s1->tx1:60 s1->tx2:565548 s1->tx3:74148
s3->rx1:0 s3->rx2:5264784 s1->tx1:130 s1->tx2:555034 s1->tx3:84802
s3->rx1:0 s3->rx2:5261760 s1->tx1:200 s1->tx2:559640 s1->tx3:80196
s3->rx1:0 s3->rx2:5263272 s1->tx1:340 s1->tx2:564386 s1->tx3:74498
s3->rx1:0 s3->rx2:5266366 s1->tx1:200 s1->tx2:570154 s1->tx3:69752
s3->rx1:0 s3->rx2:5267808 s1->tx1:60 s1->tx2:561072 s1->tx3:80256
s3->rx1:0 s3->rx2:5261760 s1->tx1:120 s1->tx2:557988 s1->tx3:81708
s3->rx1:70 s3->rx2:5270832 s1->tx1:739 s1->tx2:560179 s1->tx3:80945
s3->rx1:0 s3->rx2:5261760 s1->tx1:263 s1->tx2:550631 s1->tx3:81911
s3->rx1:0 s3->rx2:5264784 s1->tx1:60 s1->tx2:559500 s1->tx3:80196
s3->rx1:286538 s3->rx2:5270832 s1->tx1:293388 s1->tx2:556476 s1->tx3:84732
s3->rx1:259378 s3->rx2:5270832 s1->tx1:252648 s1->tx2:562524 s1->tx3:77172
s3->rx1:33950 s3->rx2:5258736 s1->tx1:34010 s1->tx2:554964 s1->tx3:84792
s3->rx1:32592 s3->rx2:5267808 s1->tx1:32712 s1->tx2:553512 s1->tx3:86244
s3->rx1:293328 s3->rx2:5264784 s1->tx1:293388 s1->tx2:564036 s1->tx3:75660
s3->rx1:2800238 s3->rx2:5270832 s1->tx1:2616926 s1->tx2:567060 s1->tx3:75660
s3->rx1:2638636 s3->rx2:5264784 s1->tx1:2618284 s1->tx2:574620 s1->tx3:63564
s3->rx1:3043320 s3->rx2:5261760 s1->tx1:2864082 s1->tx2:553452 s1->tx3:86244
s3->rx1:2752666 s3->rx2:5258736 s1->tx1:3067824 s1->tx2:518676 s1->tx3:122532
s3->rx1:2910194 s3->rx2:5261760 s1->tx1:2426806 s1->tx2:532284 s1->tx3:104448
s3->rx1:1984038 s3->rx2:5264868 s1->tx1:2475754 s1->tx2:512688 s1->tx3:127068
s3->rx1:592088 s3->rx2:5267892 s1->tx1:658690 s1->tx2:517164 s1->tx3:125556
s3->rx1:698054 s3->rx2:5264868 s1->tx1:691282 s1->tx2:511116 s1->tx3:127068
s3->rx1:784966 s3->rx2:1159788 s1->tx1:784984 s1->tx2:548916 s1->tx3:90780
s3->rx1:706202 s3->rx2:84 s1->tx1:706220 s1->tx2:550428 s1->tx3:90780
s3->rx1:1223600 s3->rx2:2142588 s1->tx1:1208974 s1->tx2:423672 s1->tx3:189312
s3->rx1:1751820 s3->rx2:5270832 s1->tx1:1766818 s1->tx2:343284 s1->tx3:299436
s3->rx1:957390 s3->rx2:5270832 s1->tx1:957450 s1->tx2:320664 s1->tx3:319152
s3->rx1:1008994 s3->rx2:5261760 s1->tx1:1009114 s1->tx2:474828 s1->tx3:164868
s3->rx1:1497874 s3->rx2:5264784 s1->tx1:1368994 s1->tx2:545962 s1->tx3:93874
